Word,POS
is,VBZ
so,RB
full,JJ
blocks,NNS
in,IN
the,DT
friend,NN
Ok,NN
2,CD
+,CC
2,CD
+,CC
2,CD
inside,IN
of,IN
you,PRP
and,CC
threw,VBD
it,PRP
back,RB
so,RB
places,NNS
such,JJ
that,IN
they,PRP
are,VBP
like,IN
interleaving,VBG
yeah,NN
and,CC
you,PRP
can,MD
you,PRP
can,MD
play,VB
some,DT
close,JJ
to,TO
each,DT
other,JJ
close,JJ
but,CC
not,RB
touching,VBG
yeah,NN
oh,UH
they,PRP
can,MD
be,VB
touching,JJ
and,CC
you,PRP
have,VBP
two,CD
blocks,NNS
on,IN
top,NN
of,IN
these,DT
yeah,NN
that,WDT
's,VBZ
right,NN
And1,JJ
Logan,NNP
top,NN
of,IN
the,DT
board,NN
