Word,POS
so,RB
now,RB
this,DT
is,VBZ
going,VBG
to,TO
be,VB
your,PRP$
Joker,NNP
costume,NN
it,PRP
is,VBZ
kind,NN
of,IN
a,DT
thing,NN
so,RB
patio,NN
right,NN
you,PRP
do,VBP
n't,RB
have,VB
any,DT
block,NN
on,IN
top,JJ
right,NN
shop,NN
you,PRP
have,VBP
three,CD
blocks,NNS
stop,VB
do,VBP
n't,RB
talk,VB
yes,UH
right,RB
bottom,JJ
you,PRP
do,VBP
n't,RB
have,VB
any,DT
block,NN
you,PRP
do,VBP
n't,RB
have,VB
to,TO
put,VB
that,DT
on,IN
left,NN
.,.
Yeah,UH
one,CD
more,JJR
time,NN
left,VBD
off,RP
one,CD
more,JJR
block,NN
on,IN
left,NN
