Word,POS
1,CD
2,CD
3,CD
4,CD
5,CD
6,CD
7,CD
8,CD
8,CD
columns,NNS
I,PRP
'm,VBP
going,VBG
to,TO
see,VB
you,PRP
one,CD
by,IN
one,CD
starting,VBG
from,IN
your,PRP$
right,NN
so,RB
one,CD
column,NN
of,IN
two,CD
blocks,NNS
yes,RB
in,IN
the,DT
next,JJ
column,NN
is,VBZ
Wally,NNP
one,CD
block,NN
you,PRP
have,VBP
to,TO
put,VB
that,DT
infant,NN
and,CC
yes,RB
that,DT
's,VBZ
right,JJ
and,CC
two,CD
two,CD
blocks,NNS
next,JJ
column,NN
is,VBZ
two,CD
blocks,NNS
in,IN
front,NN
of,IN
the,DT
second,JJ
column,NN
yes,RB
yes,RB
that,DT
's,VBZ
an,DT
everything,NN
is,VBZ
such,JJ
a,DT
and,CC
then,RB
to,TO
block,VB
next,JJ
column,NN
is,VBZ
two,CD
blocks,NNS
same,JJ
day,NN
in,IN
French,JJ
Nexus,NN
one,CD
column,NN
in,IN
front,NN
of,IN
that,DT
Naga,NN
going,VBG
downwards,NNS
now,RB
Nexus,NN
one,CD
next,JJ
color,NN
is,VBZ
one,CD
in,IN
the,DT
next,JJ
column,NN
last,JJ
column,NN
is,VBZ
one,CD
block,NN
if,IN
it,PRP
