Word,Start (s),End (s)
get,0.4,4.2
three,4.2,4.5
blocks,4.5,4.7
and,7.5,8.1
maker,8.1,8.4
can,8.4,8.8
have,8.8,8.9
one,8.9,10.0
here,10.0,10.4
one,10.4,11.1
here,11.1,11.3
well,13.1,14.0
when,14.0,15.2
here,15.2,15.5
and,15.5,15.7
then,15.7,15.8
to,15.8,16.0
like,16.0,16.3
behind,16.3,16.6
it,16.6,16.8
no,17.8,18.9
pull,18.9,19.2
them,19.2,19.3
back,19.3,19.4
towards,19.4,19.8
you,19.8,20.0
and,23.3,23.7
then,23.7,23.8
put,23.8,24.1
take,24.1,25.0
two,25.0,25.2
more,25.2,25.4
blocks,25.4,25.6
and,27.1,27.6
put,27.6,27.8
them,27.8,28.0
corner,28.0,28.5
to,28.5,28.6
corner,28.6,28.7
with,28.7,30.3
the,30.3,30.4
back,30.4,30.7
to,30.7,30.8
another,30.8,32.8
no,32.8,33.4
the,33.4,33.5
other,33.5,33.6
one,33.6,33.7
anyway,33.7,34.1
you,34.1,34.3
had,34.3,34.4
it,34.4,34.5
it,34.5,36.6
two,36.6,36.7
more,36.7,36.8
blocks,36.8,37.0
and,38.2,38.6
put,38.6,38.7
them,38.7,38.8
in,38.8,39.2
the,39.2,39.2
corner,39.2,39.4
with,39.4,39.6
those,39.6,39.7
last,39.7,40.0
two,40.0,40.1
blocks,40.1,40.5
and,43.4,43.8
I'm,43.8,44.0
your,44.0,44.2
it,44.2,44.5
to,44.5,45.0
do,45.0,45.2
it,45.2,45.3
backwards,45.3,45.5
so,45.5,45.8
yet,45.8,46.1
2,46.1,46.4
more,46.4,46.4
blocks,46.4,46.7
