Word,POS
get,VB
three,CD
blocks,NNS
and,CC
maker,NN
can,MD
have,VB
one,CD
here,RB
one,CD
here,RB
well,RB
when,WRB
here,RB
and,CC
then,RB
to,TO
like,VB
behind,IN
it,PRP
no,DT
pull,NN
them,PRP
back,RB
towards,IN
you,PRP
and,CC
then,RB
put,VBD
take,VB
two,CD
more,JJR
blocks,NNS
and,CC
put,VB
them,PRP
corner,VB
to,TO
corner,VB
with,IN
the,DT
back,NN
to,TO
another,DT
no,DT
the,DT
other,JJ
one,CD
anyway,RB
you,PRP
had,VBD
it,PRP
it,PRP
two,CD
more,JJR
blocks,NNS
and,CC
put,VB
them,PRP
in,IN
the,DT
corner,NN
with,IN
those,DT
last,JJ
two,CD
blocks,NNS
and,CC
I,PRP
'm,VBP
your,PRP$
it,PRP
to,TO
do,VB
it,PRP
backwards,RB
so,RB
yet,RB
2,CD
more,JJR
blocks,NNS
