Word,Start (s),End (s)
get,5.5,6.1
two,6.1,6.3
blocks,6.3,6.8
I'm,9.0,9.3
down,9.3,9.7
with,9.7,10.7
a,10.7,10.8
little,10.8,10.9
bit,10.9,11.1
of,11.1,11.2
space,11.2,11.4
between,11.4,11.6
them,11.6,12.0
and,12.0,12.4
then,12.4,12.5
get,12.5,12.6
another,12.6,12.8
block,12.8,13.3
and,13.3,13.4
put,13.4,13.6
it,13.6,13.7
makes,13.7,14.0
a,14.0,14.2
stack,14.2,14.6
of,14.6,14.6
3,14.6,14.9
two,16.1,16.8
sacks,16.8,17.1
of,17.1,17.1
3,17.1,17.4
on,18.3,19.0
top,19.0,19.1
of,19.1,19.2
it,19.2,19.4
right,23.8,24.2
now,24.2,24.3
trying,24.3,24.7
to,24.7,24.9
get,24.9,25.4
a,25.4,25.5
third,25.5,25.6
block,25.6,26.1
and,26.1,26.4
put,26.4,26.6
it,26.6,26.7
in,26.7,26.7
the,26.7,26.8
middle,26.8,27.0
of,28.5,28.9
the,28.9,29.0
two,29.0,29.2
of,29.2,29.2
them,29.2,29.4
like,29.4,29.9
in,29.9,30.0
the,30.0,30.2
yeah,30.2,30.5
but,30.5,31.0
it,31.0,31.1
has,31.1,31.2
to,31.2,31.3
be,31.3,31.4
in,31.4,31.8
between,31.8,32.0
the,32.0,32.4
like,32.4,32.8
the,32.8,32.9
make,32.9,34.0
an,34.0,34.1
h,34.1,34.4
h,34.4,35.7
spread,37.3,37.9
them,37.9,38.0
apart,38.0,38.2
and,38.2,38.5
then,38.5,38.7
like,38.7,38.9
squish,38.9,39.3
them,39.3,39.4
together,39.4,39.5
with,39.5,40.0
it,40.0,40.2
in,40.2,40.2
the,40.2,40.3
middle,40.3,40.5
stuck,40.5,40.9
yeah,41.9,42.2
then,44.7,46.1
make,46.1,46.2
another,46.2,46.4
stack,46.4,46.8
of,46.8,46.9
three,46.9,47.2
on,47.2,47.9
the,47.9,48.0
on,48.0,48.6
the,48.6,48.8
side,48.8,49.1
other,51.7,52.2
side,52.2,52.5
hi,55.3,55.8
