Word,POS
get,VB
two,CD
blocks,NNS
I,PRP
'm,VBP
down,RP
with,IN
a,DT
little,JJ
bit,NN
of,IN
space,NN
between,IN
them,PRP
and,CC
then,RB
get,VB
another,DT
block,NN
and,CC
put,VBD
it,PRP
makes,VBZ
a,DT
stack,VB
of,IN
3,CD
two,CD
sacks,NNS
of,IN
3,CD
on,IN
top,NN
of,IN
it,PRP
right,RB
now,RB
trying,VBG
to,TO
get,VB
a,DT
third,JJ
block,NN
and,CC
put,VBD
it,PRP
in,IN
the,DT
middle,NN
of,IN
the,DT
two,CD
of,IN
them,PRP
like,IN
in,IN
the,DT
yeah,NN
but,CC
it,PRP
has,VBZ
to,TO
be,VB
in,IN
between,IN
the,DT
like,IN
the,DT
make,VBP
an,DT
h,NN
h,NN
spread,VB
them,PRP
apart,RB
and,CC
then,RB
like,IN
squish,VB
them,PRP
together,RB
with,IN
it,PRP
in,IN
the,DT
middle,JJ
stuck,JJ
yeah,NN
then,RB
make,VB
another,DT
stack,VB
of,IN
three,CD
on,IN
the,DT
on,IN
the,DT
side,NN
other,JJ
side,NN
hi,UH
