Word,Start (s),End (s)
this,0.8,1.3
one,1.3,1.5
is,1.5,1.6
also,1.6,1.9
another,1.9,2.2
three-dimensional,2.2,3.2
one,3.2,3.4
there's,4.4,6.3
going,6.3,6.5
to,6.5,6.5
be,6.5,6.6
four,6.6,7.8
blocks,7.8,8.3
at,8.3,8.5
804,8.5,10.1
kind,10.1,10.5
of,10.5,10.6
centered,10.6,11.2
in,11.2,11.3
the,11.3,11.5
grid,11.5,11.9
the,11.9,12.0
grids,12.0,12.5
not,12.5,15.3
as,15.3,15.5
relevant,15.5,15.8
there,15.8,16.8
cannot,16.8,17.1
not,17.1,17.4
be,17.4,17.5
up,17.5,17.9
a,17.9,18.2
square,18.2,18.6
rather,18.6,19.1
they're,19.1,19.6
going,19.6,19.7
to,19.7,19.8
be,19.8,20.0
Dimond,20.0,21.1
so,21.1,21.4
they're,21.4,21.6
going,21.6,21.7
to,21.7,21.8
be,21.8,21.9
turn,21.9,22.4
up,22.4,22.5
90°,22.5,23.2
each,23.2,24.0
block,24.0,24.3
90°,24.3,24.9
yep,24.9,25.1
just,25.1,25.9
like,25.9,26.0
that,26.0,26.3
I,28.6,28.9
would,28.9,29.1
separate,29.1,29.8
them,29.8,30.1
a,30.1,30.3
little,30.3,30.9
separate,30.9,31.6
the,31.6,31.7
ones,31.7,31.9
you,31.9,32.2
left,32.2,32.4
and,32.4,32.7
right,32.7,32.7
yet,32.7,33.4
the,33.4,34.0
front,34.0,34.3
and,34.3,34.4
back,34.4,34.5
aren't,34.5,34.9
as,34.9,35.0
much,35.0,35.2
separated,35.2,35.7
it's,36.3,38.5
all,38.5,38.7
good,38.7,38.8
shape,38.8,39.3
of,39.3,39.4
this,39.4,39.6
is,39.6,41.3
let's,46.5,47.0
do,47.0,47.2
the,47.2,47.4
left,47.4,47.7
and,47.7,47.8
right,47.8,47.9
so,47.9,48.4
focus,48.4,48.8
on,48.8,48.9
the,48.9,49.0
left,49.0,49.3
and,49.3,49.3
right,49.3,49.5
locks,49.5,50.4
I,50.4,50.5
hate,50.5,50.7
zero,50.7,50.9
put,50.9,51.5
one,51.5,52.2
block,52.2,52.9
on,52.9,53.0
top,53.0,53.3
of,53.3,53.5
each,53.5,53.7
though,53.7,54.4
they're,54.4,54.9
not,54.9,55.3
diamond,55.3,56.0
shapes,56.0,56.4
their,56.4,56.6
square-shaped,56.6,57.2
now,57.2,57.6
yes,57.6,58.5
it's,58.5,58.6
like,58.6,58.8
that,58.8,58.9
there,60.4,60.8
is,60.8,61.3
now,63.9,64.4
focus,64.4,65.6
on,65.6,65.8
the,65.8,66.1
front,66.1,66.6
and,66.6,66.7
back,66.7,66.8
diamonds,66.8,68.0
there,68.0,68.9
is,68.9,69.3
there,69.3,70.3
still,70.3,70.5
there's,70.5,71.4
going,71.4,71.5
to,71.5,71.5
be,71.5,71.6
a,71.6,71.7
block,71.7,71.9
on,71.9,72.1
top,72.1,72.2
of,72.2,72.4
