Word,Start (s),End (s)
looking,1.6,2.7
at,2.7,2.8
the,2.8,2.9
same,2.9,3.2
grid,3.2,3.6
five,3.6,4.0
rows,4.0,4.5
1,4.5,4.7
2,4.7,4.9
3,4.9,5.3
4,5.3,5.5
5,5.5,5.9
6,5.9,6.2
7,6.2,6.5
8,6.5,6.7
8,6.7,7.0
5,7.0,8.8
5,8.8,10.0
rows,10.0,10.2
and,10.2,10.4
columns,10.4,10.9
there,10.9,12.2
is,12.2,12.4
blocks,12.4,12.9
in,12.9,12.9
the,12.9,13.0
top,13.0,13.9
left,13.9,14.2
top,14.2,14.4
right,14.4,14.8
and,14.8,15.2
bottom,15.2,15.6
left,15.6,15.9
bottom,15.9,16.0
right,16.0,16.4
and,17.4,17.8
that,17.8,18.1
is,18.1,18.3
it,18.3,18.4
