Word,Start (s),End (s)
okay,6.4,6.9
I'm,6.9,7.3
So,7.3,7.5
at,7.5,8.1
the,8.1,8.3
the,8.3,9.2
grid,9.2,9.4
is,9.4,9.6
more,9.6,9.8
relevant,9.8,10.1
again,10.1,10.4
there's,10.4,10.9
one,10.9,11.3
block,11.3,11.6
centered,11.6,12.0
at,12.0,12.2
Heights,12.2,12.5
0,12.5,12.8
in,12.8,13.1
the,13.1,13.2
grip,13.2,13.5
and,14.5,15.2
there's,15.2,15.5
going,15.5,15.6
to,15.6,15.7
be,15.7,15.8
5,15.8,16.1
blocks,16.1,16.4
on,16.4,16.6
top,16.6,16.7
of,16.7,16.9
it,16.9,17.1
and,17.1,17.5
that,17.5,17.8
is,17.8,18.0
it,18.0,18.2
block,19.6,21.2
by,21.2,21.3
block,21.3,22.2
vertically,22.2,22.9
on,22.9,23.1
top,23.1,23.3
of,23.3,23.5
it,23.5,23.6
so,23.6,24.0
that,24.0,24.2
goes,24.2,24.5
up,24.5,24.6
the,24.6,24.7
height,24.7,24.9
for,24.9,25.1
so,29.7,30.2
yeah,30.2,30.6
just,30.6,31.1
one,31.1,31.4
black,31.4,31.6
bass,31.6,32.0
one,32.0,32.6
black,32.6,32.9
face,32.9,33.1
the,33.1,33.3
entire,33.3,33.4
time,33.4,33.8
by,33.8,34.2
blocks,34.2,34.5
stacked,34.5,35.2
on,35.2,35.2
top,35.2,35.3
so,35.3,36.4
it,36.4,36.5
goes,36.5,36.7
up,36.7,36.8
by,36.8,36.9
4,36.9,37.2
and,37.2,38.1
they're,38.1,38.2
all,38.2,38.4
yet,38.4,38.8
