Word,POS
this,DT
one,CD
gets,VBZ
a,DT
bit,NN
more,RBR
complicated,VBN
this,DT
is,VBZ
a,DT
three-dimensional,JJ
set,NN
of,IN
blocks,NNS
there,EX
is,VBZ
one,CD
two,CD
three,CD
four,CD
five,CD
Roseville,NNP
12348,CD
go,VB
some,DT
of,IN
the,DT
blocks,NNS
are,VBP
not,RB
directly,RB
on,IN
each,DT
row,NN
or,CC
column,NN
I,PRP
'm,VBP
just,RB
going,VBG
to,TO
describe,VB
the,DT
picture,NN
to,TO
the,DT
best,JJS
way,NN
that,IN
I,PRP
can,MD
see,VB
you,PRP
it,PRP
looks,VBZ
like,IN
the,DT
blocks,NNS
start,VBP
on,IN
the,DT
second,JJ
row,NN
in,IN
about,IN
half,DT
way,NN
down,IN
in,IN
between,IN
the,DT
second,JJ
and,CC
third,JJ
call,NN
so,RB
however,RB
that,WDT
works,VBZ
visually,RB
for,IN
you,PRP
I,PRP
might,MD
move,VB
it,PRP
to,TO
your,PRP$
left,VBD
a,DT
little,JJ
bit,NN
yep,NN
that,WDT
sounds,VBZ
good,JJ
that,WDT
works,VBZ
right,JJ
okay,JJ
then,RB
Barrett,NNP
okay,JJ
start,NN
at,IN
index,NN
call,NN
Aries,NNS
in,IN
their,PRP$
clear,JJ
out,IN
so,IN
it,PRP
kind,NN
of,IN
looks,NNS
like,IN
a,DT
pyramid,NN
I,PRP
'm,VBP
just,RB
going,VBG
to,TO
describe,VB
what,WP
I,PRP
see,VBP
you,PRP
it,PRP
looks,VBZ
like,IN
a,DT
pyramid,NN
going,VBG
up,RP
between,IN
those,DT
two,CD
stacks,NNS
in,IN
the,DT
back,RB
there,EX
's,VBZ
two,CD
blocks,NNS
in,IN
the,DT
base,NN
at,IN
I-80,NN
then,RB
goes,VBZ
up,RP
to,TO
1,CD
at,IN
night,NN
one,CD
and,CC
then,RB
maybe,RB
it,PRP
's,VBZ
3,CD
in,IN
the,DT
back,NN
but,CC
yes,RB
had,VBD
the,DT
way,NN
you,PRP
're,VBP
doing,VBG
it,PRP
so,RB
far,RB
looks,VBZ
cracked,VBN
and,CC
then,RB
there,EX
is,VBZ
there,EX
so,IN
it,PRP
's,VBZ
two,CD
heights,NNS
tall,JJ
it,PRP
's,VBZ
there,EX
's,VBZ
a,DT
basiyo,NN
there,EX
's,VBZ
one,NN
in,IN
the,DT
two,CD
and,CC
then,RB
that,IN
there,EX
's,VBZ
a,DT
second,JJ
stack,VBP
to,TO
add,VB
some,DT
to,TO
it,PRP
's,VBZ
right,JJ
to,TO
your,PRP$
right,NN
Robert,NNP
some,DT
yeah,JJ
move,NN
that,WDT
top,JJ
walk,NN
over,IN
to,TO
your,PRP$
left,VBD
a,DT
little,JJ
bit,NN
yes,RB
that,DT
way,NN
that,DT
way,NN
yes,RB
and,CC
I,PRP
'm,VBP
see,VB
I,PRP
'm,VBP
not,RB
sure,JJ
if,IN
there,EX
's,VBZ
a,DT
block,NN
underneath,IN
it,PRP
to,TO
supporting,VBG
it,PRP
more,RBR
but,CC
there,EX
's,VBZ
also,RB
a,DT
second,JJ
pyramid,NN
next,IN
to,TO
it,PRP
over,IN
here,RB
that,DT
looks,VBZ
the,DT
exact,JJ
same,JJ
but,CC
opposite,JJ
so,RB
going,VBG
towards,IN
the,DT
middle,JJ
again,RB
yep,NN
that,WDT
looks,VBZ
right,NN
show,VB
me,PRP
a,DT
two,CD
blocks,NNS
left,VBD
okay,JJ
I,PRP
'm,VBP
so,RB
that,IN
background,NN
but,CC
you,PRP
must,MD
enter,VB
blocks,NNS
at,IN
Heights,NNP
zero,CD
are,VBP
not,RB
there,RB
not,RB
there,EX
yep,RB
you,PRP
're,VBP
not,RB
know,VB
so,RB
how,WRB
are,VBP
you,PRP
would,MD
n't,RB
want,VB
to,TO
bounce,VB
it,PRP
okay,JJ
that,DT
same,JJ
pattern,NN
is,VBZ
repeated,VBN
one,CD
row,NN
closer,JJR
to,TO
you,PRP
so,RB
go,VB
one,CD
one,CD
closer,JJR
to,TO
you,PRP
that,DT
same,JJ
pattern,NN
is,VBZ
repeated,VBN
though,IN
it,PRP
's,VBZ
connected,JJ
The,DT
Two,CD
Towers,NNP
on,IN
either,DT
side,NN
are,VBP
connected,VBN
to,TO
each,DT
other,JJ
yes,RB
I,PRP
'm,VBP
the,DT
two,CD
by,IN
the,DT
blocks,NNS
of,IN
the,DT
base,NN
nearest,JJS
you,PRP
are,VBP
separated,VBN
a,DT
little,JJ
bit,NN
make,VB
sure,JJ
they,PRP
're,VBP
the,DT
same,JJ
as,IN
close,JJ
to,TO
each,DT
other,JJ
as,RB
well,RB
what,WP
's,VBZ
a,DT
cup,NN
of,IN
La,NNP
Syria,NNP
feed,NN
yeah,VB
the,DT
spacing,NN
is,VBZ
a,DT
little,JJ
off,RP
at,IN
8:02,CD
blocks,NNS
at,IN
Hyde,NNP
0,CD
ones,NNS
a,DT
little,JJ
farther,RBR
forward,RB
than,IN
the,DT
other,JJ
there,RB
should,MD
be,VB
one,CD
block,NN
in,IN
the,DT
very,RB
front,JJ
at,IN
the,DT
base,NN
at,IN
I-20,NN
near,IN
Sears,NNP
or,CC
another,DT
block,NN
present,JJ
Robert,NNP
closer,JJR
to,TO
you,PRP
I,PRP
hate,VBP
zero,CD
yeah,NN
I,PRP
ca,MD
n't,RB
see,VB
what,WP
block,NN
or,CC
missing,VBG
one,CD
here,RB
YouTube,NNP
right,RB
so,RB
that,IN
block,NN
there,EX
's,VBZ
two,CD
in,IN
the,DT
very,RB
back,RB
those,DT
that,WDT
hate,VBP
zero,CD
then,RB
there,EX
's,VBZ
one,CD
a,DT
block,NN
at,IN
tight,JJ
blocking,VBG
front,NN
of,IN
them,PRP
closer,JJR
to,TO
you,PRP
at,IN
the,DT
next,JJ
row,NN
at,IN
I-80,NNP
so,IN
I,PRP
hate,VBP
zero,CD
rather,RB
so,RB
not,RB
the,DT
blocks,NNS
in,IN
the,DT
very,RB
back,RB
row,NN
with,IN
the,DT
blocks,NNS
next,IN
up,RB
yes,RB
so,RB
move,VB
those,DT
blocks,NNS
that,WDT
are,VBP
it,PRP
those,DT
blocks,NNS
that,WDT
are,VBP
stacked,VBN
up,RP
in,IN
the,DT
very,RB
back,RB
row,VB
they,PRP
should,MD
n't,RB
be,VB
dependent,JJ
on,IN
those,DT
blocks,NNS
that,IN
you,PRP
're,VBP
touching,VBG
right,RB
now,RB
yep,RB
they,PRP
should,MD
be,VB
pushed,VBN
back,RB
those,DT
two,CD
blocks,NNS
that,IN
you,PRP
now,RB
are,VBP
there,EX
yes,UH
they,PRP
so,RB
your,PRP$
separate,JJ
those,DT
those,DT
two,CD
blocks,NNS
that,WDT
are,VBP
standing,VBG
on,IN
top,NN
of,IN
it,PRP
does,VBZ
one,CD
see,VBP
a,DT
movie,NN
Space,NN
Jam,NN
down,IN
to,TO
move,VB
that,IN
top,JJ
walk-up,JJ
height,NN
to,TO
and,CC
they,PRP
put,VBD
them,PRP
next,JJ
to,TO
each,DT
other,JJ
yes,UH
like,IN
that,IN
we,PRP
're,VBP
not,RB
quite,RB
touching,JJ
and,CC
then,RB
the,DT
block,NN
one,CD
Flacco,NNP
's,POS
in,IN
the,DT
very,RB
top,JJ
I,PRP
hate,VBP
to,TO
one,CD
block,NN
goes,VBZ
in,IN
front,NN
of,IN
it,PRP
at,IN
nearest,JJS
to,TO
you,PRP
I,PRP
hate,VBP
you,PRP
yep,NN
and,CC
then,RB
those,DT
two,CD
blocks,NNS
at,IN
zero,CD
the,DT
now,RB
on,IN
the,DT
bottom,NN
of,IN
that,DT
stack,VBP
pull,VB
them,PRP
apart,RB
a,DT
little,JJ
bit,NN
and,CC
then,RB
yes,UH
that,WDT
looks,VBZ
about,RB
right,JJ
what,WDT
works,NNS
best,RBS
for,IN
describing,VBG
it,PRP
to,TO
you,PRP
on,IN
that,DT
one,CD
Hydro,NNP
obviously,RB
was,VBD
working,VBG
yeah,JJ
I,PRP
agree,VBP
