Word,POS
the,DT
greater,JJR
the,DT
relevant,JJ
again,RB
there,EX
's,VBZ
where,WRB
you,PRP
have,VBP
that,IN
block,NN
is,VBZ
the,DT
right,JJ
place,NN
centered,VBN
at,IN
the,DT
middle,JJ
there,EX
's,VBZ
going,VBG
to,TO
be,VB
6,CD
blocks,NNS
stacked,VBN
on,IN
top,NN
of,IN
it,PRP
going,VBG
up,RB
to,TO
high-five,VB
the,DT
same,JJ
way,NN
that,IN
you,PRP
did,VBD
last,JJ
time,NN
meaning,NN
of,IN
brittle,JJ
to,TO
your,PRP$
alright,NN
does,VBZ
n't,RB
really,RB
matter,NN
I,PRP
guess,VBP
the,DT
block,NN
there,EX
is,VBZ
a,DT
little,JJ
bit,NN
tiny,JJ
staggered,JJ
going,VBG
up,RP
what,WP
would,MD
be,VB
to,TO
your,PRP$
what,WDT
1,CD
best,JJS
block,NN
rather,RB
yes,RB
that,DT
is,VBZ
correct,JJ
