Word,Start (s),End (s)
Aaliyah,1.2,2.0
All,2.0,2.5
wrote,2.5,2.8
a,2.8,3.0
box,3.0,3.4
line,3.4,5.6
for,5.6,6.1
box,6.1,6.4
and,11.6,12.3
a,14.2,14.5
box,14.5,14.9
I,14.9,15.4
use,15.4,15.8
yeah,15.8,16.1
put,18.6,19.1
in,19.1,19.9
the,19.9,20.0
middle,20.0,20.2
of,20.2,20.7
the,20.7,21.0
left,21.0,22.2
two,22.2,22.4
box,22.4,23.4
in,23.4,23.8
the,23.8,23.9
middle,23.9,24.3
of,24.3,25.0
my,25.0,25.2
latitude,25.2,25.4
box,25.4,26.0
I,26.0,26.2
know,26.2,28.7
I'm,28.7,29.4
near,29.4,29.6
you,29.6,29.7
in,29.7,29.9
another,29.9,31.2
that's,31.2,31.7
this,31.7,32.0
us,32.0,32.5
the,32.5,32.8
symmetrical,32.8,33.8
symmetrical,33.8,35.1
of,35.1,36.0
this,36.0,36.2
right,36.2,36.4
