Word,POS
two,CD
bucks,NNS
yeah,NN
that,WDT
's,VBZ
right,JJ
and,CC
another,DT
box,NN
on,IN
top,NN
of,IN
it,PRP
yes,RB
that,DT
's,VBZ
a,DT
Spotify,NNP
know,VB
if,IN
that,DT
's,VBZ
up,RP
that,DT
's,VBZ
about,RB
to,TO
find,VB
out,RP
so,RB
another,DT
night,NN
of,IN
this,DT
one,CD
Iona,NNP
this,DT
yet,CC
touch,NN
to,TO
touch,VB
touch,NN
it,PRP
a,DT
note,NN
oh,UH
yeah,VBP
that,DT
's,VBZ
right,JJ
and,CC
a,DT
and,CC
the,DT
Box,NNP
on,IN
the,DT
top,NN
of,IN
on,IN
the,DT
top,NN
of,IN
the,DT
second,JJ
year,NN
did,VBD
you,PRP
get,VB
adjusted,VBN
yet,RB
okay,JJ
that,DT
's,VBZ
just,RB
it,PRP
this,DT
rice,NN
that,WDT
's,VBZ
all,DT
