Word,Start (s),End (s)
two,4.6,5.0
bucks,5.0,5.3
yeah,10.4,12.7
that's,12.7,14.1
right,14.1,14.3
and,14.3,14.6
another,14.6,14.8
box,14.8,15.2
on,15.2,15.4
top,15.4,15.6
of,15.6,15.8
it,15.8,16.1
yes,20.0,20.5
that's,20.5,21.6
a,21.6,21.7
Spotify,21.7,23.0
know,23.0,23.3
if,23.3,23.5
that's,23.5,23.7
up,23.7,23.9
that's,23.9,24.2
about,24.2,24.4
to,24.4,24.5
find,24.5,24.8
out,24.8,24.9
so,24.9,25.2
another,25.2,25.6
night,25.6,26.0
of,26.0,26.1
this,26.1,26.2
one,26.2,26.5
Iona,28.7,29.6
this,29.6,31.1
yet,31.1,31.6
touch,35.0,36.0
to,36.0,36.2
touch,36.2,36.5
touch,36.5,37.0
it,37.0,37.1
a,39.4,39.7
note,39.7,40.1
oh,43.2,43.5
yeah,43.5,43.7
that's,43.7,44.4
right,44.4,44.5
and,44.5,46.5
a,46.5,46.9
and,49.6,50.6
the,50.6,50.8
Box,50.8,51.1
on,51.1,51.8
the,51.8,52.0
top,52.0,52.7
of,52.7,52.9
on,54.0,54.4
the,54.4,54.5
top,54.5,54.7
of,54.7,54.9
the,54.9,55.0
second,55.0,56.7
year,56.7,56.9
did,58.3,59.4
you,59.4,59.5
get,59.5,59.7
adjusted,59.7,59.9
yet,59.9,61.2
okay,61.2,61.4
that's,61.4,61.5
just,61.5,61.6
it,61.6,61.9
this,61.9,62.8
rice,62.8,63.1
that's,63.1,64.3
all,64.3,64.5
