Word,POS
Five,CD
Horses,NNS
start,VBP
put,VBN
on,IN
coming,VBG
diagonal,JJ
cutting,VBG
Corners,NNPS
touching,JJ
corners,NNS
okay,JJ
and,CC
then,RB
3,CD
more,JJR
coming,VBG
off,RP
from,IN
the,DT
other,JJ
direction,NN
touching,VBG
the,DT
corner,NN
on,IN
the,DT
one,CD
side,NN
with,IN
three,CD
the,DT
one,CD
closest,JJS
to,TO
the,DT
middle,JJ
but,CC
another,DT
block,NN
on,IN
top,NN
stack,VB
stack,VB
it,PRP
up,IN
no,DT
closest,JJS
to,TO
me,PRP
okay,JJ
and,CC
then,RB
on,IN
the,DT
other,JJ
side,NN
the,DT
two,CD
closest,JJS
to,TO
the,DT
middle,JJ
get,VB
stacked,VBN
get,VB
another,DT
one,CD
stacked,VBN
on,IN
top,JJ
and,CC
the,DT
one,CD
at,IN
the,DT
very,JJ
end,NN
