Word,POS
okay,JJ
so,IN
start,NN
with,IN
four,CD
blocks,NNS
all,DT
on,IN
the,DT
same,JJ
level,NN
and,CC
they,PRP
're,VBP
slightly,RB
apart,RB
like,IN
like,IN
a,DT
daimond,NN
and,CC
just,RB
make,VB
them,PRP
all,DT
yeah,VBP
they,PRP
see,VB
me,PRP
a,DT
little,JJ
bit,NN
closer,RBR
together,RB
because,IN
on,IN
those,DT
blocks,NNS
you,PRP
're,VBP
going,VBG
to,TO
put,VB
three,CD
yeah,VBP
it,PRP
looks,VBZ
like,IN
three,CD
three,CD
you,PRP
're,VBP
going,VBG
to,TO
put,VB
one,CD
so,RB
put,VBN
in,IN
a,DT
little,JJ
bit,NN
closer,RBR
together,RB
just,RB
so,IN
they,PRP
're,VBP
all,DT
touching,VBG
or,CC
at,IN
least,JJS
almost,RB
hatching,VBG
yeah,JJ
and,CC
then,RB
put,VBD
one,CD
in,IN
put,VBN
put,VBP
you,PRP
in,IN
the,DT
front,NN
yeah,JJ
exactly,RB
like,IN
that,DT
and,CC
put,VBN
which,WDT
one,CD
is,VBZ
the,DT
best,JJS
yes,RB
it,PRP
's,VBZ
just,RB
one,CD
on,IN
the,DT
back,NN
yeah,NN
that,WDT
's,VBZ
perfect,JJ
and,CC
then,RB
just,RB
put,VB
one,CD
on,IN
the,DT
top,NN
of,IN
the,DT
three,CD
of,IN
those,DT
that,IN
looks,VBZ
good,JJ
