Word,POS
is,VBZ
3,CD
columns,NNS
and,CC
they,PRP
each,DT
have,VBP
our,PRP$
four,CD
blocks,NNS
high,JJ
but,CC
on,IN
the,DT
two,CD
outer,JJ
ones,NNS
they,PRP
're,VBP
like,IN
it,PRP
's,VBZ
like,IN
a,DT
block,NN
and,CC
then,RB
a,DT
block,NN
dye,VB
acne,NN
do,VBP
you,PRP
know,VB
what,WP
I,PRP
mean,VBP
just,RB
try,VB
it,PRP
and,CC
I,PRP
can,MD
explain,VB
a,DT
little,JJ
bit,NN
better,RBR
yeah,VB
the,DT
middle,JJ
ones,NNS
just,RB
completely,RB
Straight,NNP
Like,IN
That,DT
yeah,VB
the,DT
other,JJ
two,CD
on,IN
either,DT
side,NN
and,CC
just,RB
yet,RB
just,RB
straight,RB
up,IN
straight,RB
up,IN
straight,RB
up,RB
and,CC
then,RB
they,PRP
're,VBP
all,DT
stacked,VBN
directly,RB
on,IN
top,JJ
not,RB
like,IN
that,DT
just,RB
you,PRP
can,MD
push,VB
them,PRP
together,RB
but,CC
the,DT
2nd,JJ
and,CC
the,DT
4th,JJ
one,CD
are,VBP
rotated,VBN
like,IN
90,CD
degrees,NNS
Yeah,UH
and,CC
that,DT
's,VBZ
exactly,RB
what,WP
the,DT
other,JJ
one,CD
looks,VBZ
like,IN
on,IN
the,DT
other,JJ
side,NN
