Word,POS
this,DT
one,CD
looks,VBZ
like,IN
it,PRP
's,VBZ
a,DT
no-go,JJ
sorry,JJ
it,PRP
looks,VBZ
like,IN
a,DT
:--RRB-,NN
there,EX
is,VBZ
two,CD
blocks,NNS
for,IN
the,DT
eyes,NNS
there,EX
's,VBZ
three,CD
blocks,NNS
for,IN
the,DT
bottom,NN
of,IN
the,DT
smile,NN
and,CC
two,CD
blocks,NNS
like,IN
making,VBG
it,PRP
smile,NN
I,PRP
guess,VBP
so,RB
yeah,JJ
it,PRP
's,VBZ
to,TO
Eyes,NNS
First,NNP
yeah,NN
and,CC
they,PRP
're,VBP
like,IN
a,DT
block,NN
apart,RB
and,CC
then,RB
there,EX
's,VBZ
two,CD
blocks,VBZ
a,DT
little,JJ
bit,NN
like,IN
out,IN
and,CC
then,RB
down,RB
or,CC
up,RB
for,IN
you,PRP
I,PRP
do,VBP
n't,RB
know,VB
up,RP
up,RP
would,MD
be,VB
better,JJR
and,CC
then,RB
there,EX
's,VBZ
three,CD
blocks,NNS
to,TO
make,VB
the,DT
smile,NN
off,IN
the,DT
two,CD
wider,JJR
blocks,NNS
and,CC
they,PRP
're,VBP
just,RB
straight,RB
the,DT
three,CD
blocks,NNS
all,DT
touch,NN
and,CC
they,PRP
're,VBP
straight,JJ
and,CC
then,RB
they,PRP
connect,VBP
to,TO
the,DT
two,CD
wider,JJR
blocks,NNS
