Word,POS
okay,JJ
so,IN
this,DT
whole,JJ
thing,NN
is,VBZ
on,IN
one,CD
like,IN
none,NN
of,IN
them,PRP
are,VBP
stacked,VBN
on,IN
top,NN
of,IN
each,DT
other,JJ
they,PRP
're,VBP
all,DT
like,IN
single,JJ
blocks,NNS
and,CC
it,PRP
kind,RB
of,IN
looks,NNS
like,IN
a,DT
similar,JJ
issue,NN
a,DT
z,SYM
so,IN
it,PRP
's,VBZ
like,IN
curved,JJ
straight,RB
down,RB
and,CC
then,RB
curved,VBD
up,RP
so,IN
it,PRP
's,VBZ
one,CD
two,CD
three,CD
four,CD
five,CD
six,CD
seven,CD
blocks,NNS
in,IN
total,NN
okay,JJ
sweetie,NN
I,PRP
'll,MD
put,VB
that,DT
one,CD
a,DT
little,JJ
bit,NN
and,CC
I,PRP
'll,MD
be,VB
at,IN
the,DT
curve,NN
the,DT
other,JJ
way,NN
though,IN
like,IN
curving,VBG
towards,IN
yeah,NN
put,VB
that,DT
on,IN
the,DT
other,JJ
side,NN
Note,VB
2,CD
to,TO
your,PRP$
right,NN
like,IN
move,NN
the,DT
whole,JJ
thing,NN
to,TO
your,PRP$
right,NN
and,CC
move,VB
it,PRP
vertical,JJ
keep,VB
those,DT
were,VBD
they,PRP
are,VBP
and,CC
then,RB
I,PRP
want,VBP
to,TO
point,VB
at,IN
the,DT
screen,NN
that,IN
the,DT
really,RB
white,JJ
black,JJ
okay,JJ
so,IN
the,DT
three,CD
blocks,NNS
you,PRP
're,VBP
touching,VBG
right,RB
now,RB
moved,VBN
like,IN
make,VB
them,PRP
vertical,JJ
and,CC
then,RB
I,PRP
kind,NN
of,IN
oh,UH
no,DT
that,IN
one,CD
was,VBD
fine,JJ
put,VBD
it,PRP
back,RB
I,PRP
think,VBP
they,PRP
to,TO
me,PRP
is,VBZ
backwards,RB
to,TO
you,PRP
and,CC
then,RB
put,VBD
two,CD
more,JJR
blocks,NNS
not,RB
not,RB
free,JJ
just,RB
to,TO
and,CC
move,VB
them,PRP
slightly,RB
upward,RB
like,IN
her,PRP$
the,DT
other,JJ
upward,JJ
I,PRP
'm,VBP
sorry,JJ
maybe,RB
downward,JJ
to,TO
you,PRP
would,MD
be,VB
easier,JJR
and,CC
do,VBP
n't,RB
have,VB
them,PRP
touching,VBG
one,CD
another,DT
they,PRP
all,DT
do,VBP
n't,RB
touch,VB
and,CC
they,PRP
're,VBP
all,PDT
a,DT
little,JJ
oh,UH
you,PRP
do,VBP
n't,RB
need,VB
one,CD
of,IN
the,DT
block,NN
so,IN
it,PRP
's,VBZ
like,IN
units,NNS
of,IN
yes,RB
you,PRP
can,MD
take,VB
yeah,NN
that,WDT
's,VBZ
fine,JJ
and,CC
then,RB
just,RB
move,VB
that,IN
up,IN
a,DT
little,JJ
bit,NN
yeah,NN
that,WDT
's,VBZ
no,DT
put,VBD
it,PRP
put,VBD
it,PRP
back,RB
right,RB
as,IN
you,PRP
were,VBD
great,JJ
so,RB
and,CC
then,RB
have,VBP
okay,JJ
so,RB
have,VBP
that,IN
one,CD
that,WDT
one,CD
closest,JJS
to,TO
you,PRP
both,DT
like,IN
line,NN
segments,NNS
move,VB
it,PRP
so,IN
it,PRP
kind,RB
of,IN
like,IN
curves,NNS
upward,RB
or,CC
other,JJ
way,NN
I,PRP
mean,VBP
downward,JJ
to,TO
you,PRP
a,DT
little,JJ
less,JJR
yeah,NN
that,WDT
works,VBZ
and,CC
then,RB
kind,NN
of,IN
move,NN
the,DT
one,CD
in,IN
the,DT
middle,JJ
to,TO
like,VB
have,VB
it,PRP
kind,NN
of,IN
angle,NN
towards,IN
a,DT
little,JJ
yeah,NN
that,WDT
's,VBZ
perfect,JJ
and,CC
then,RB
move,VB
that,IN
bottom,JJ
one,CD
the,DT
really,RB
white,JJ
one,CD
yeah,NN
that,IN
one,CD
to,TO
make,VB
it,PRP
in,IN
line,NN
with,IN
the,DT
two,CD
going,VBG
down,RB
or,CC
going,VBG
up,RP
to,TO
you,PRP
and,CC
then,RB
move,VB
those,DT
little,JJ
bit,NN
closer,RBR
and,CC
then,RB
have,VBP
the,DT
one,CD
with,IN
your,PRP$
nail,NN
polish,NN
like,IN
make,VB
it,PRP
a,DT
little,JJ
bit,NN
more,RBR
straight,JJ
yeah,NN
that,IN
looks,VBZ
pretty,RB
good,JJ
