Word,POS
okay,JJ
so,IN
the,DT
shape,NN
you,PRP
're,VBP
supposed,VBN
to,TO
build,VB
the,DT
there,EX
's,VBZ
two,CD
independent,JJ
shapes,NNS
first,RB
one,CD
is,VBZ
like,IN
an,DT
upside,NN
down,IN
y,NN
so,IN
it,PRP
's,VBZ
like,IN
this,DT
with,IN
like,IN
a,DT
stem,NN
coming,VBG
off,RB
of,IN
it,PRP
but,CC
that,IN
shape,NN
is,VBZ
on,IN
the,DT
left,VBN
so,RB
just,RB
move,VB
it,PRP
slightly,RB
the,DT
left,NN
yeah,NN
that,WDT
's,VBZ
perfect,JJ
you,PRP
might,MD
have,VB
a,DT
hard,JJ
time,NN
balancing,VBG
it,PRP
but,CC
it,PRP
's,VBZ
for,IN
so,RB
it,PRP
's,VBZ
like,IN
four,CD
steps,NNS
up,IN
yeah,RB
so,RB
like,IN
that,DT
but,CC
like,IN
for,IN
increments,NNS
until,IN
you,PRP
get,VBP
to,TO
the,DT
streetcar,NN
yeah,NN
that,WDT
's,VBZ
perfect,JJ
and,CC
then,RB
there,EX
is,VBZ
like,IN
two,CD
blocks,NNS
on,IN
top,NN
like,IN
forming,VBG
like,IN
this,DT
damn,NN
on,IN
top,NN
like,IN
vertical,JJ
and,CC
then,RB
yeah,VB
and,CC
then,RB
to,TO
oh,UH
gosh,VBP
what,WP
's,VBZ
your,PRP$
right,NN
if,IN
you,PRP
like,IN
you,PRP
're,VBP
actually,RB
in,IN
the,DT
room,NN
with,IN
the,DT
okay,JJ
okay,JJ
so,RB
yeah,JJ
on,IN
your,PRP$
left,JJ
yeah,NN
you,PRP
're,VBP
going,VBG
to,TO
have,VB
your,PRP$
benefit,NN
two,CD
blocks,VBZ
right,NN
on,IN
top,NN
of,IN
each,DT
other,JJ
I,PRP
left,VBD
yeah,RB
like,VB
right,RB
there,RB
that,DT
's,VBZ
perfect,JJ
and,CC
yeah,VB
that,DT
's,VBZ
that,DT
's,VBZ
good,JJ
that,DT
's,VBZ
perfect,JJ
