Word,POS
so,RB
in,IN
the,DT
back,NN
like,IN
so,RB
first,RB
just,RB
put,VB
four,CD
blocks,NNS
on,IN
top,NN
of,IN
each,DT
other,JJ
I,PRP
'm,VBP
vertical,JJ
yeah,NN
but,CC
like,IN
slightly,RB
like,IN
moving,VBG
towards,IN
like,IN
the,DT
stuff,NN
that,IN
we,PRP
did,VBD
before,IN
but,CC
like,IN
just,RB
towards,IN
wherever,WRB
just,RB
like,IN
making,VBG
him,PRP
like,IN
a,DT
little,JJ
incremented,JJ
like,IN
last,JJ
time,NN
and,CC
then,RB
that,DT
's,VBZ
going,VBG
to,TO
be,VB
wait,NN
is,VBZ
it,PRP
can,MD
I,PRP
put,VB
the,DT
front,NN
as,IN
my,PRP$
friend,NN
or,CC
her,PRP$
okay,JJ
and,CC
then,RB
behind,IN
that,DT
you,PRP
're,VBP
going,VBG
to,TO
have,VB
two,CD
blocks,NNS
better,RB
just,RB
on,IN
top,NN
of,IN
each,DT
other,JJ
yeah,RB
just,RB
like,IN
slightly,RB
aggravated,VBN
it,PRP
's,VBZ
not,RB
a,DT
huge,JJ
deal,NN
and,CC
then,RB
you,PRP
're,VBP
going,VBG
to,TO
put,VB
two,CD
blocks,NNS
kind,NN
of,IN
like,IN
in,IN
next,JJ
to,TO
these,DT
for,IN
like,IN
right,JJ
horizontal,JJ
to,TO
the,DT
four,CD
but,CC
that,IN
you,PRP
are,VBP
on,IN
top,NN
of,IN
each,DT
other,JJ
yeah,NN
and,CC
so,RB
just,RB
put,VB
it,PRP
right,JJ
next,JJ
to,TO
your,PRP$
left,JJ
hand,NN
and,CC
then,RB
move,VB
it,PRP
back,RP
a,DT
little,JJ
bit,NN
and,CC
then,RB
put,VB
on,RP
from,IN
the,DT
four,CD
block,NN
tower,NN
put,VBD
two,CD
of,IN
them,PRP
like,IN
so,IN
it,PRP
's,VBZ
kind,NN
of,IN
like,IN
another,DT
Tower,NN
does,VBZ
that,IN
make,VBP
sense,NN
no,DT
just,RB
using,VBG
the,DT
two,CD
you,PRP
have,VBP
from,IN
the,DT
four,CD
blocks,NNS
so,RB
like,IN
the,DT
to,TO
block,VB
in,IN
the,DT
Ford,NNP
locker,NN
coming,VBG
together,RB
yes,RB
but,CC
the,DT
two,CD
black,JJ
is,VBZ
move,VB
a,DT
little,JJ
bit,NN
back,RB
but,CC
sorry,JJ
the,DT
like,JJ
individual,NN
to,TO
block,VB
yes,RB
and,CC
then,RB
the,DT
two,CD
on,IN
top,NN
from,IN
the,DT
four,CD
block,NN
from,IN
the,DT
four,CD
black,JJ
our,PRP$
kind,NN
of,IN
moved,VBN
on,IN
top,NN
of,IN
the,DT
both,DT
of,IN
them,PRP
yet,RB
okay,JJ
that,DT
's,VBZ
like,IN
going,VBG
through,IN
a,DT
block,NN
okay,JJ
we,PRP
'll,MD
figure,VB
this,DT
out,RP
then,RB
you,PRP
take,VBP
one,CD
single,JJ
block,NN
and,CC
move,VB
it,PRP
in,IN
front,NN
so,RB
like,IN
the,DT
left,JJ
two,CD
structured,JJ
yeah,NN
and,CC
then,RB
to,TO
your,PRP$
left,VBD
a,DT
little,JJ
bit,NN
more,RBR
and,CC
then,RB
move,VB
it,PRP
back,RB
to,TO
the,DT
structure,NN
okay,JJ
and,CC
then,RB
okay,JJ
and,CC
then,RB
you,PRP
take,VBP
another,DT
singular,JJ
block,NN
and,CC
move,VB
it,PRP
next,JJ
to,TO
that,DT
single,JJ
block,NN
like,IN
diagonally,RB
behind,IN
it,PRP
yeah,NN
and,CC
I,PRP
'm,VBP
a,DT
little,JJ
bit,NN
closer,RBR
to,TO
the,DT
structure,NN
yeah,NN
and,CC
then,RB
put,VBD
a,DT
block,NN
on,IN
top,NN
of,IN
that,DT
a,DT
little,JJ
bit,NN
closer,RBR
to,TO
the,DT
front,JJ
one,CD
trying,VBG
to,TO
send,VB
some,DT
clothes,NNS
okay,JJ
I,PRP
think,VBP
we,PRP
're,VBP
good,JJ
