Word,POS
okay,JJ
so,IN
this,DT
one,NN
's,POS
kind,NN
of,IN
similar,JJ
we,PRP
've,VBP
got,VBD
two,CD
towers,NNS
this,DT
time,NN
and,CC
the,DT
first,JJ
one,CD
is,VBZ
going,VBG
to,TO
be,VB
for,IN
high,JJ
and,CC
it,PRP
's,VBZ
going,VBG
to,TO
be,VB
like,IN
they,PRP
're,VBP
stacked,VBN
on,IN
top,NN
of,IN
each,DT
other,JJ
just,RB
like,IN
the,DT
yeah,NN
and,CC
then,RB
we,PRP
have,VBP
another,DT
Tower,NN
that,WDT
's,VBZ
like,IN
in,IN
front,NN
of,IN
that,DT
one,CD
again,RB
and,CC
it,PRP
's,VBZ
only,RB
3,CD
High,JJ
weather,NN
like,IN
right,JJ
next,JJ
to,TO
each,DT
other,JJ
so,RB
yeah,JJ
yeah,NN
like,IN
that,DT
