Word,Start (s),End (s)
okay,1.0,1.6
so,1.6,1.9
this,1.9,2.3
first,2.3,2.7
shape,2.7,2.9
is,2.9,3.3
basically,3.3,3.7
a,3.7,3.9
:-),3.9,4.6
and,5.5,6.0
you,6.0,6.1
got,6.1,6.4
three,6.4,7.2
blocks,7.2,7.5
at,7.5,7.9
the,7.9,8.0
bottom,8.0,8.4
and,10.0,11.4
then,11.4,11.5
there's,11.5,11.8
like,11.8,11.8
two,11.8,12.7
blocks,12.7,12.9
right,12.9,13.4
to,13.4,13.7
the,13.7,13.8
side,13.8,14.2
of,14.2,14.3
a,14.3,14.4
box,14.4,14.8
and,14.8,14.9
like,14.9,15.1
make,15.1,15.3
the,15.3,15.5
the,15.5,15.7
curl,15.7,16.2
of,16.2,16.4
the,16.4,16.4
smile,16.4,16.8
yeah,16.8,17.9
just,17.9,18.1
like,18.1,18.2
that,18.2,18.5
and,18.5,19.0
then,19.0,19.2
like,19.2,19.7
the,19.7,19.8
two,19.8,20.1
eyes,20.1,20.3
above,20.3,20.5
that,20.5,20.9
