Word,Start (s),End (s)
okay,2.2,2.8
so,2.8,3.1
this,3.1,3.4
one,3.4,3.7
we,3.7,3.8
got,3.8,3.9
three,3.9,5.5
blocks,5.5,5.7
on,5.7,6.4
the,6.4,6.5
bottom,6.5,7.0
but,7.0,7.3
they're,7.3,7.5
turned,7.5,7.9
at,7.9,8.1
Angles,8.1,8.7
to,8.7,9.0
where,9.0,9.2
the,9.2,9.4
corners,9.4,9.8
are,9.8,10.0
touching,10.0,10.3
yeah,10.3,10.7
and,10.7,11.9
then,11.9,12.2
there's,12.2,12.7
like,12.7,12.8
to,12.8,13.5
just,13.5,14.0
lay,14.0,14.1
on,14.1,14.6
top,14.6,14.7
of,14.7,15.0
them,15.0,15.1
and,17.4,18.5
then,18.5,18.8
one,18.8,19.1
on,19.1,19.2
the,19.2,19.3
very,19.3,19.3
top,19.3,19.6
