Word,Start (s),End (s)
okay,0.0,1.4
so,1.4,1.9
this,1.9,2.1
one,2.1,2.4
we're,2.4,2.5
going,2.5,2.6
to,2.6,2.7
start,2.7,2.9
with,2.9,3.0
a,3.0,3.1
line,3.1,3.5
that's,3.5,3.9
5,3.9,4.7
blocks,4.7,5.2
long,5.2,5.3
and,16.2,18.2
then,18.2,18.4
on,18.4,19.7
top,19.7,19.8
of,19.8,20.2
that,20.2,20.4
last,20.4,21.0
block,21.0,21.4
to,21.4,22.0
my,22.0,22.8
left,22.8,23.4
you're,23.4,23.9
right,23.9,24.0
there's,24.0,25.2
one,25.2,25.4
more,25.4,25.5
block,25.5,25.8
yeah,25.8,26.0
right,26.0,26.4
there,26.4,26.6
on,29.8,30.8
the,30.8,30.9
table,30.9,31.2
