Word,POS
okay,JJ
this,DT
is,VBZ
going,VBG
to,TO
be,VB
two,CD
vertical,JJ
Columns,NNS
of,IN
6,CD
when,WRB
is,VBZ
going,VBG
to,TO
be,VB
at,IN
Row,NN
3,CD
column,NN
three,CD
and,CC
one,CD
's,POS
going,VBG
to,TO
be,VB
at,IN
Row,NNP
3,CD
column,NN
6,CD
so,RB
then,RB
you,PRP
're,VBP
going,VBG
to,TO
go,VB
up,RP
see,VB
if,IN
your,PRP$
height,NN
is,VBZ
zero,CD
then,RB
you,PRP
're,VBP
going,VBG
to,TO
have,VB
five,CD
on,IN
top,NN
of,IN
that,DT
so,IN
it,PRP
can,MD
be,VB
a,DT
total,NN
of,IN
6,CD
reviews,NNS
of,IN
every,DT
block,NN
shed,NN
the,DT
matter,NN
that,WDT
are,VBP
slightly,RB
come,VBN
out,RP
