Word,Start (s),End (s)
okay,0.0,1.3
so,1.3,1.5
this,1.5,1.5
is,1.5,1.7000000000000002
going,1.7000000000000002,1.9
to,1.9,1.9
be,1.9,2.1
at,2.1,2.2
your,2.2,2.3
5,2.3,2.7
by,2.7,2.8
8,2.8,3.1
grid,3.1,3.3
again,3.3,3.6
all,3.6,4.5
the,4.5,4.6
blocks,4.6,5.0
are,5.0,5.0
going,5.0,5.1
to,5.1,5.2
be,5.2,5.3
shifted,5.3,5.7
halfway,5.7,6.3
to,6.3,6.5
the,6.5,6.5
right,6.5,6.9
so,6.9,7.6
they're,7.6,7.7
going,7.7,7.8
to,7.8,7.9
be,7.9,8.0
like,8.0,8.1
at,8.1,8.8
the,8.8,8.9
1,8.9,9.1
and,9.1,9.2
1/2,9.2,9.3
Mark,9.3,9.7
and,9.7,10.3
it's,10.3,10.4
time,10.4,10.6
Row,15.5,15.9
1,15.9,16.3
column,16.3,17.1
1,17.1,17.3
no,17.3,17.5
Row,17.5,18.2
2,18.2,18.5
it's,19.6,20.7
like,20.7,20.8
Road,20.8,21.1
two,21.1,21.3
and,21.3,21.5
three,21.5,21.8
columns,21.8,22.9
one,22.9,23.0
and,23.0,23.2
two,23.2,23.3
there's,23.3,23.5
like,23.5,23.7
a,23.7,23.7
block,23.7,24.0
in,24.0,24.2
the,24.2,24.2
middle,24.2,24.5
of,24.5,24.5
them,24.5,24.7
so,24.7,25.8
it's,25.8,25.9
like,25.9,26.0
in,26.0,26.3
the,26.3,26.4
middle,26.4,26.4
text,30.6,31.1
Rachel,31.1,31.4
go,31.4,31.5
to,31.5,31.7
Row,31.7,32.6
3,32.6,32.9
column,32.9,33.5
like,33.5,34.3
between,34.3,34.5
column,34.5,35.0
1,35.0,35.2
and,35.2,35.3
2,35.3,35.6
like,35.6,36.4
right,36.4,36.5
here,36.5,36.6
he's,39.3,40.1
Frozen,40.1,40.3
sorry,43.2,43.8
for,43.8,44.0
lying,44.0,44.1
you,44.1,44.3
froze,44.3,44.7
I,44.7,44.8
can't,44.8,45.2
that's,46.9,47.3
why,47.3,47.4
I,47.4,47.5
was,47.5,47.6
