Word,POS
okay,JJ
so,IN
this,DT
is,VBZ
going,VBG
to,TO
be,VB
at,IN
your,PRP$
5,CD
by,IN
8,CD
grid,NN
again,RB
all,PDT
the,DT
blocks,NNS
are,VBP
going,VBG
to,TO
be,VB
shifted,VBN
halfway,RB
to,TO
the,DT
right,NN
so,IN
they,PRP
're,VBP
going,VBG
to,TO
be,VB
like,IN
at,IN
the,DT
1,CD
and,CC
1/2,CD
Mark,NNP
and,CC
it,PRP
's,VBZ
time,NN
Row,NN
1,CD
column,NN
1,CD
no,DT
Row,NN
2,CD
it,PRP
's,VBZ
like,IN
Road,NNP
two,CD
and,CC
three,CD
columns,NNS
one,CD
and,CC
two,CD
there,EX
's,VBZ
like,IN
a,DT
block,NN
in,IN
the,DT
middle,NN
of,IN
them,PRP
so,IN
it,PRP
's,VBZ
like,IN
in,IN
the,DT
middle,NN
text,NN
Rachel,NNP
go,VB
to,TO
Row,VB
3,CD
column,NN
like,IN
between,IN
column,NN
1,CD
and,CC
2,CD
like,IN
right,NN
here,RB
he,PRP
's,VBZ
Frozen,JJ
sorry,JJ
for,IN
lying,VBG
you,PRP
froze,VBD
I,PRP
ca,MD
n't,RB
that,DT
's,VBZ
why,WRB
I,PRP
was,VBD
weird,JJ
you,PRP
got,VBD
one,CD
right,NN
there,RB
at,IN
the,DT
Row,NN
3,CD
column,NN
1,CD
and,CC
1/2,CD
on,IN
your,PRP$
left,NN
on,IN
your,PRP$
other,JJ
side,NN
it,PRP
's,VBZ
going,VBG
to,TO
be,VB
on,IN
your,PRP$
left,JJ
side,NN
okay,JJ
so,IN
starting,VBG
at,IN
you,PRP
take,VB
your,PRP$
left,JJ
hand,NN
upper,JJ
left,NN
is,VBZ
going,VBG
to,TO
be,VB
that,DT
's,VBZ
your,PRP$
like,IN
you,PRP
're,VBP
one,CD
one,CD
like,IN
your,PRP$
base,NN
so,RB
go,VB
down,RB
there,RB
like,IN
Row,NN
3,CD
and,CC
then,RB
looks,VBZ
like,IN
it,PRP
's,VBZ
going,VBG
to,TO
ship,VB
it,PRP
over,IN
just,RB
like,IN
a,DT
half,NN
a,DT
square,NN
I,PRP
'd,MD
rather,RB
take,VB
the,DT
first,JJ
one,CD
up,RB
and,CC
you,PRP
ever,RB
left,VBD
you,PRP
do,VBP
n't,RB
need,VB
that,DT
one,CD
and,CC
then,RB
you,PRP
just,RB
kind,NN
of,IN
gun,NN
at,IN
the,DT
corners,NNS
inside,IN
corners,NNS
of,IN
the,DT
first,JJ
one,CD
so,IN
it,PRP
's,VBZ
going,VBG
to,TO
be,VB
in,IN
Row,NN
2,CD
and,CC
4,CD
weather,NN
all,DT
that,DT
for,IN
that,DT
column,NN
then,RB
going,VBG
to,TO
do,VB
it,PRP
again,RB
on,IN
those,DT
ones,NNS
so,IN
it,PRP
could,MD
get,VB
one,CD
in,IN
five,CD
then,RB
you,PRP
're,VBP
going,VBG
to,TO
go,VB
in,IN
one,CD
more,JJR
back,RB
to,TO
the,DT
three,CD
and,CC
four,CD
then,RB
you,PRP
going,VBG
to,TO
go,VB
out,RP
one,CD
more,JJR
back,RB
to,TO
one,CD
and,CC
five,CD
and,CC
then,RB
you,PRP
got,VBD
to,TO
go,VB
down,RB
to,TO
three,CD
and,CC
four,CD
and,CC
then,RB
down,RB
to,TO
one,CD
so,RB
you,PRP
just,RB
reversing,VBG
a,DT
hole,NN
pattern,NN
yeah,RB
just,RB
like,IN
that,DT
