Word,POS
all,DT
right,NN
so,RB
you,PRP
're,VBP
going,VBG
to,TO
have,VB
starting,VBG
at,IN
Row,NN
3,CD
column,NN
free,JJ
you,PRP
have,VBP
one,CD
block,NN
and,CC
then,RB
you,PRP
're,VBP
going,VBG
to,TO
put,VB
one,CD
right,JJ
next,JJ
to,TO
it,PRP
and,CC
one,CD
right,NN
next,JJ
to,TO
that,DT
just,RB
like,IN
that,DT
yeah,NN
okay,JJ
and,CC
then,RB
that,DT
's,VBZ
it,PRP
for,IN
your,PRP$
base,NN
year,NN
at,IN
your,PRP$
height,NN
zero,CD
everything,NN
is,VBZ
on,IN
top,NN
of,IN
that,DT
so,RB
then,RB
your,PRP$
next,JJ
one,NN
is,VBZ
going,VBG
to,TO
be,VB
up,RB
one,CD
and,CC
it,PRP
's,VBZ
going,VBG
to,TO
be,VB
shipped,VBN
it,PRP
over,IN
half,PDT
a,DT
block,NN
to,TO
your,PRP$
salon,NN
okay,JJ
see,VBP
I,PRP
just,RB
like,IN
that,DT
and,CC
then,RB
the,DT
next,JJ
one,NN
's,POS
going,VBG
yet,RB
just,RB
like,IN
that,DT
and,CC
I,PRP
'll,MD
give,VB
you,PRP
a,DT
third,JJ
one,CD
that,WDT
's,VBZ
going,VBG
to,TO
hang,VB
over,IN
the,DT
edge,NN
type,NN
1,CD
so,RB
jeggings,NNS
get,VBP
it,PRP
in,IN
there,EX
you,PRP
just,RB
like,IN
that,DT
and,CC
then,RB
you,PRP
can,MD
do,VB
that,DT
one,CD
more,JJR
time,NN
in,IN
the,DT
same,JJ
direction,NN
so,IN
it,PRP
's,VBZ
kind,NN
of,IN
like,IN
a,DT
slanting,JJ
height,NN
3,CD
it,PRP
just,RB
like,IN
that,DT
okay,JJ
so,RB
now,RB
on,IN
top,NN
of,IN
that,IN
you,PRP
're,VBP
going,VBG
to,TO
between,IN
the,DT
overlapping,VBG
the,DT
the,DT
two,CD
here,RB
and,CC
I,PRP
have,VBP
two,CD
blocks,NNS
are,VBP
they,PRP
on,IN
middle,JJ
3,CD
so,RB
yeah,JJ
right,NN
like,IN
there,EX
and,CC
then,RB
one,CD
right,JJ
next,JJ
to,TO
it,PRP
and,CC
yeah,VB
just,RB
like,IN
that,DT
and,CC
then,RB
one,CD
on,IN
me,PRP
you,PRP
're,VBP
let,VB
down,RP
that,DT
one,CD
your,PRP$
left,JJ
side,NN
as,IN
can,MD
be,VB
just,RB
went,VBD
on,IN
top,NN
