Word,Start (s),End (s)
all,0.1,0.6000000000000001
right,0.6000000000000001,0.8
in,0.8,1.0
front,1.0,1.1
of,1.1,1.4
you,1.4,1.7000000000000002
on,1.7000000000000002,1.9
your,1.9,2.2
right,2.2,2.4
side,2.4,2.6
put,2.6,3.3
stack,3.3,3.9
three,3.9,4.2
blocks,4.2,4.7
about,8.3,9.7
a,9.7,10.0
block,10.0,10.2
apart,10.2,10.9
from,10.9,11.2
that,11.2,11.2
stack,11.2,12.4
two,12.4,12.7
blocks,12.7,13.3
yep,15.0,15.5
yep,15.5,15.6
and,18.3,18.8
then,18.8,19.0
you,19.0,19.1
want,19.1,19.2
to,19.2,19.3
put,19.3,19.5
one,19.5,19.9
block,19.9,20.5
about,20.5,21.6
half,21.6,22.1
a,22.1,22.2
block,22.2,22.4
back,22.4,23.4
from,23.4,23.7
the,23.7,23.8
stack,23.8,24.2
of,24.2,24.2
two,24.2,24.5
