Word,POS
okay,JJ
so,RB
from,IN
your,PRP$
right,JJ
side,NN
take,VB
two,CD
blocks,NNS
go,VBP
pretty,RB
far,RB
forward,RB
yeah,NN
that,WDT
's,VBZ
good,JJ
that,DT
's,VBZ
good,JJ
then,RB
take,VB
two,CD
more,JJR
blocks,NNS
go,VBP
back,RB
half,PDT
a,DT
block,NN
back,RB
and,CC
to,TO
the,DT
left,NN
of,IN
that,DT
little,RB
further,RB
good,JJ
sure,RB
all,DT
right,RB
the,DT
back,NN
of,IN
block,NN
from,IN
the,DT
ones,NNS
you,PRP
just,RB
laid,VBD
go,VB
to,TO
your,PRP$
left,NN
and,CC
stack,VB
two,CD
that,WDT
's,VBZ
good,JJ
right,RB
there,EX
I,PRP
think,VBP
and,CC
then,RB
I,PRP
want,VBP
you,PRP
to,TO
go,VB
forward,RB
and,CC
a,DT
parallel,NN
to,TO
the,DT
make,VB
a,DT
parallel,NN
that,WDT
go,VBP
forward,RB
to,TO
the,DT
first,JJ
one,CD
you,PRP
laid,VBD
and,CC
then,RB
put,VBD
a,DT
block,NN
behind,IN
.,.
Stack,NN
good,JJ
dad,NN
I,PRP
want,VBP
you,PRP
to,TO
go,VB
to,TO
the,DT
left,NN
of,IN
the,DT
to,TO
stack,VB
you,PRP
just,RB
laid,VBD
and,CC
put,VB
to,TO
to,TO
another,DT
stack,VB
up,RP
to,TO
and,CC
one,CD
behind,IN
it,PRP
that,DT
's,VBZ
good,JJ
