Word,Start (s),End (s)
put,0.6000000000000001,1.7000000000000002
one,1.7000000000000002,1.9
block,1.9,2.1
wherever,2.1,2.6
you,2.6,2.7
want,2.7,3.0
in,3.0,3.8
the,3.8,3.8
center,3.8,4.2
I,4.2,5.0
think,5.0,5.1
and,6.2,6.9
one,6.9,7.6
plug,7.6,8.0
ahead,10.3,10.9
of,10.9,11.0
it,11.0,11.2
ahead,11.2,11.7
of,11.7,11.8
it,11.8,12.0
it,12.0,12.9
Grace,12.9,13.3
and,13.3,14.0
one,14.0,14.2
block,14.2,14.4
left,14.4,15.1
of,15.1,15.3
the,15.3,15.5
first,15.5,16.2
block,16.2,16.5
first,17.7,18.3
block,18.3,18.6
in,18.6,18.9
a,18.9,19.1
bit,19.1,19.3
in,19.3,20.1
front,20.1,20.3
of,20.3,20.4
it,20.4,20.6
moved,20.6,21.8
forward,21.8,22.2
a,22.2,22.4
bit,22.4,22.5
and,24.8,25.7
one,25.7,26.6
block,26.6,26.8
on,26.8,27.6
the,27.6,27.9
right,27.9,29.2
side,29.2,29.7
of,29.7,29.8
the,29.8,29.9
first,29.9,30.3
block,30.3,30.7
and,30.7,31.1
move,31.1,31.6
back,31.6,31.8
of,31.8,32.1
it,32.1,32.3
first,33.5,34.0
book,34.0,34.4
the,36.8,37.2
first,37.2,37.5
block,37.5,37.7
imported,37.7,38.3
the,38.3,38.8
one,38.8,39.4
near,39.4,39.6
the,39.6,39.7
nearest,39.7,40.4
UDF,40.4,40.7
and,40.7,41.7
the,41.7,41.9
right,41.9,42.3
side,42.3,42.4
of,42.4,42.7
it,42.7,42.8
a,43.7,44.3
bit,44.3,44.5
a,44.5,44.8
bit,44.8,45.0
right,45.0,45.2
smoke,46.8,48.1
and,49.6,50.8
one,50.8,51.1
block,51.1,51.4
pick,52.6,53.0
up,53.0,53.1
one,53.1,53.3
block,53.3,53.4
and,53.4,53.7
it,53.7,54.1
is,54.1,54.3
in,54.3,54.7
front,54.7,55.0
of,55.0,55.2
the,55.2,55.3
block,55.3,55.7
you,55.7,56.0
just,56.0,56.4
put,56.4,56.6
it,56.6,56.7
and,56.7,56.9
rotate,56.9,57.4
it,57.4,57.5
45,57.5,58.4
degrees,58.4,58.5
