Word,POS
put,VBD
three,CD
skills,NNS
three,CD
blocks,NNS
in,IN
a,DT
line,NN
three,CD
blocks,NNS
and,CC
put,VB
the,DT
right,NN
to,TO
drive,VB
to,TO
on,IN
your,PRP$
side,NN
put,VBD
them,PRP
together,RB
and,CC
put,VB
the,DT
Quan,NNP
blog,NN
on,IN
the,DT
top,NN
of,IN
the,DT
right,NN
to,TO
block,VB
in,IN
the,DT
middle,NN
and,CC
one,CD
on,IN
the,DT
left,JJ
two,CD
blocks,NNS
turn,VB
on,RP
both,DT
of,IN
them,PRP
yes,RB
and,CC
one,CD
block,NN
under,IN
the,DT
two,CD
blocks,NNS
just,RB
foot,NN
just,RB
send,VB
one,CD
plug,NN
just,RB
left,VBD
left,JJ
side,NN
of,IN
it,PRP
one,CD
last,JJ
book,NN
is,VBZ
on,IN
the,DT
top,NN
of,IN
the,DT
two,CD
blocks,NNS
you,PRP
just,RB
put,VBD
and,CC
a,DT
bit,RB
right,JJ
up,IN
a,DT
bit,NN
right,NN
of,IN
it,PRP
