Word,POS
put,VBD
one,CD
on,IN
a,DT
bit,NN
left,JJ
and,CC
more,RBR
near,IN
you,PRP
a,DT
bit,NN
father,NN
and,CC
a,DT
bit,RB
right,JJ
and,CC
another,DT
one,CD
on,IN
the,DT
left,JJ
left,JJ
side,NN
of,IN
it,PRP
and,CC
push,VB
it,PRP
a,DT
bit,NN
far,RB
from,IN
you,PRP
left,VBD
side,NN
of,IN
the,DT
truck,NN
you,PRP
just,RB
put,VBD
Panera,NN
a,DT
bit,NN
behind,IN
yes,RB
and,CC
1,CD
+,CC
on,IN
the,DT
top,NN
of,IN
the,DT
back,NN
of,IN
the,DT
box,NN
unplug,VB
the,DT
Left,VBN
Behind,IN
corner,NN
like,IN
here,RB
you,PRP
're,VBP
behind,IN
near,IN
you,PRP
of,IN
block,NN
in,IN
front,NN
of,IN
the,DT
middle,JJ
block,NN
inputted,VBN
a,DT
bit,NN
left,VBD
your,PRP$
left,NN
Eventbrite,NN
and,CC
block,NN
alarm,NN
clock,NN
most,RBS
right,JJ
Block,NN
in,IN
front,NN
of,IN
the,DT
most,RBS
drive,VB
truck,NN
most,RBS
right,RB
you,PRP
'll,MD
be,VB
alright,JJ
a,DT
bit,NN
move,VB
the,DT
bit,NN
right,JJ
in,IN
front,NN
of,IN
Kentucky,NNP
Fried,NNP
Chicken,NNP
left,RB
and,CC
we,PRP
can,MD
put,VB
a,DT
block,NN
on,IN
the,DT
right,NN
of,IN
all,PDT
the,DT
blocks,NNS
and,CC
put,VB
it,PRP
in,IN
the,DT
middle,NN
of,IN
the,DT
table,NN
a,DT
bit,NN
back,RB
to,TO
the,DT
top,NN
of,IN
it,PRP
and,CC
put,VB
a,DT
block,NN
behind,IN
it,PRP
Janelle,NNP
Monae,NNP
are,VBP
you,PRP
and,CC
moved,VBN
if,IN
it,PRP
's,VBZ
right,JJ
and,CC
a,DT
Blog,NN
on,IN
the,DT
right,JJ
side,NN
and,CC
nearest,JJS
you,PRP
just,RB
like,IN
the,DT
smell,NN
of,IN
the,DT
most,RBS
death,NN
drop,NN
a,DT
bit,NN
right,JJ
a,DT
bit,NN
of,IN
it,PRP
right,RB
you,PRP
're,VBP
right,JJ
Smoke,NNP
&,CC
More,RBR
in,IN
front,NN
of,IN
it,PRP
in,IN
front,NN
of,IN
it,PRP
one,CD
last,JJ
frog,NN
in,IN
front,NN
of,IN
the,DT
property,NN
just,RB
put,VBD
father,NN
move,NN
under,IN
a,DT
bit,NN
left,JJ
left,NN
