Word,Start (s),End (s)
yes,0.6000000000000001,1.5
bit,1.5,1.8
this,1.8,2.0
pattern,2.0,2.4
exactly,2.4,3.0
the,3.0,3.1
same,3.1,3.3
as,3.3,3.5
the,3.5,3.5
one,3.5,3.7
you,3.7,3.9
made,3.9,4.2
except,4.2,4.6
you,4.6,4.8
flip,4.8,5.3
it,5.3,5.5
up,5.5,5.8
so,5.8,6.8
it's,6.8,7.0
3,7.0,7.2
on,7.2,7.4
the,7.4,7.4
bottom,7.4,7.9
then,7.9,8.3
to,8.3,8.4
above,8.4,8.8
it,8.8,9.0
then,9.0,9.2
one,9.2,9.8
like,9.8,10.0
a,10.0,10.1
pyramid,10.1,10.4
obviously,12.6,13.9
the,13.9,14.0
blacks,14.0,14.7
will,14.7,14.8
have,14.8,14.9
to,14.9,15.0
be,15.0,15.2
a,15.2,15.2
little,15.2,15.4
closer,15.4,15.9
together,15.9,16.3
to,16.3,16.7
support,16.7,17.0
the,17.0,17.2
next,17.2,17.5
ones,17.5,17.8
