Word,POS
so,RB
this,DT
is,VBZ
going,VBG
to,TO
be,VB
four,CD
layers,NNS
grab,VBP
three,CD
foot,NN
bottom,NN
layer,NN
we,PRP
have,VBP
to,TO
touching,VBG
each,DT
other,JJ
and,CC
then,RB
one,CD
space,NN
out,IN
ever,RB
so,RB
slightly,RB
a,DT
little,JJ
bit,NN
more,RBR
so,IN
that,IN
you,PRP
can,MD
put,VB
a,DT
block,NN
on,IN
top,NN
for,IN
the,DT
second,JJ
layer,NN
1,CD
centered,VBN
on,IN
the,DT
M1,NN
hatchimal,JJ
filtered,VBN
it,PRP
would,MD
be,VB
touching,JJ
each,DT
other,JJ
and,CC
one,CD
of,IN
them,PRP
is,VBZ
going,VBG
to,TO
be,VB
over,IN
the,DT
Gap,NN
only,RB
one,CD
of,IN
them,PRP
or,CC
the,DT
other,JJ
direction,NN
all,DT
right,NN
in,IN
and,CC
one,CD
more,JJR
on,IN
top,NN
