Word,POS
so,RB
starting,VBG
from,IN
the,DT
top,JJ
moving,VBG
to,TO
your,PRP$
left,VBN
down,RP
for,IN
diagonally,RB
a,DT
row,NN
with,IN
the,DT
corners,NNS
touching,VBG
and,CC
the,DT
other,JJ
direction,NN
it,PRP
's,VBZ
the,DT
same,JJ
except,IN
for,IN
there,EX
are,VBP
five,CD
what,WDT
one,NN
less,JJR
than,IN
that,DT
on,IN
the,DT
side,NN
was,VBD
for,IN
on,IN
the,DT
last,JJ
one,CD
on,IN
the,DT
inside,JJ
corner,NN
there,EX
's,VBZ
another,DT
block,NN
yeah,NN
it,PRP
's,VBZ
just,RB
on,IN
the,DT
table,NN
like,IN
not,RB
stocked,VBN
and,CC
then,RB
down,IN
down,RB
one,CD
yeah,NN
and,CC
touching,JJ
corners,NNS
same,JJ
on,IN
the,DT
4th,JJ
block,NN
on,IN
the,DT
other,JJ
side,NN
between,IN
the,DT
block,NN
you,PRP
just,RB
placed,VBD
on,IN
the,DT
third,JJ
block,NN
on,IN
that,DT
side,NN
it,PRP
's,VBZ
touching,VBG
those,DT
two,CD
corners,NNS
and,CC
there,EX
's,VBZ
one,CD
touching,VBG
that,IN
blocks,VBZ
bottom,JJ
corner,NN
