Word,POS
so,RB
start,VB
was,VBD
for,IN
line,NN
them,PRP
up,RP
in,IN
a,DT
square,NN
but,CC
with,IN
little,JJ
space,NN
between,IN
them,PRP
yeah,NN
and,CC
then,RB
between,IN
them,PRP
on,IN
the,DT
two,CD
on,IN
the,DT
side,NN
stack,VB
two,CD
on,IN
each,DT
side,NN
like,IN
going,VBG
up,RP
like,IN
on,IN
top,NN
of,IN
them,PRP
except,IN
for,IN
do,VBP
them,PRP
in,IN
one,CD
stack,VBP
in,IN
the,DT
middle,NN
in,IN
the,DT
middle,NN
of,IN
just,RB
the,DT
side,NN
and,CC
do,VB
the,DT
same,JJ
thing,NN
on,IN
the,DT
other,JJ
side,NN
I,PRP
know,VBP
and,CC
then,RB
one,CD
on,IN
the,DT
top,NN
in,IN
the,DT
middle,NN
that,DT
's,VBZ
it,PRP
