Word,POS
so,RB
start,VB
with,IN
four,CD
blocks,NNS
it,PRP
kind,RB
of,IN
like,IN
a,DT
diamond,NN
shape,NN
with,IN
them,PRP
in,IN
the,DT
corners,NNS
yeah,RB
they,PRP
pulled,VBD
the,DT
two,CD
outside,JJ
ones,NNS
further,RB
apart,RB
and,CC
then,RB
push,VB
the,DT
two,CD
inside,IN
ones,NNS
together,RB
a,DT
little,JJ
but,CC
not,RB
so,IN
they,PRP
're,VBP
touching,VBG
okay,JJ
then,RB
take,VB
3,CD
blocks,NNS
in,IN
between,IN
the,DT
one,CD
on,IN
the,DT
top,JJ
and,CC
the,DT
one,CD
on,IN
the,DT
right,NN
there,EX
's,VBZ
a,DT
block,NN
and,CC
then,RB
the,DT
one,CD
in,IN
the,DT
top,NN
on,IN
the,DT
one,CD
on,IN
the,DT
left,VBN
there,EX
's,VBZ
another,DT
Block,NN
it,PRP
's,VBZ
slightly,RB
more,RBR
forward,RB
than,IN
that,DT
one,CD
and,CC
then,RB
the,DT
other,JJ
one,CD
is,VBZ
on,IN
the,DT
one,CD
on,IN
the,DT
back,NN
and,CC
the,DT
one,CD
on,IN
the,DT
right,NN
and,CC
it,PRP
's,VBZ
more,JJR
towards,IN
the,DT
center,NN
yeah,NN
and,CC
then,RB
on,IN
top,NN
of,IN
the,DT
on,IN
the,DT
second,JJ
layer,NN
on,IN
top,NN
of,IN
the,DT
one,CD
on,IN
the,DT
right,NN
in,IN
the,DT
bottom,JJ
mostly,RB
and,CC
then,RB
on,IN
the,DT
corner,NN
of,IN
the,DT
other,JJ
one,CD
there,EX
's,VBZ
another,DT
block,NN
yeah,NN
