Word,POS
start,VB
with,IN
7,CD
blocks,NNS
so,RB
first,RB
put,VB
one,CD
near,IN
the,DT
top,JJ
okay,JJ
then,RB
there,EX
's,VBZ
one,CD
to,TO
the,DT
left,NN
of,IN
that,DT
one,CD
slightly,RB
down,IN
a,DT
little,JJ
sorry,RB
the,DT
right,NN
and,CC
then,RB
up,RB
little,RB
more,RBR
and,CC
they,PRP
're,VBP
touching,VBG
the,DT
sides,NNS
and,CC
then,RB
there,EX
's,VBZ
one,CD
down,RB
and,CC
to,TO
the,DT
right,JJ
skewed,JJ
a,DT
little,JJ
of,IN
the,DT
1st,JJ
block,NN
sorry,JJ
of,IN
the,DT
first,JJ
block,NN
that,IN
you,PRP
put,VBP
yeah,JJ
sorry,JJ
they,PRP
're,VBP
backwards,RB
so,RB
it,PRP
's,VBZ
like,IN
touching,VBG
the,DT
bottom,NN
of,IN
that,DT
one,CD
the,DT
other,JJ
it,PRP
's,VBZ
yeah,JJ
okay,JJ
and,CC
then,RB
there,EX
's,VBZ
another,DT
one,CD
that,WDT
's,VBZ
basically,RB
the,DT
same,JJ
to,TO
that,DT
block,NN
yeah,NN
down,IN
of,IN
the,DT
block,NN
for,IN
this,DT
right,NN
there,EX
is,VBZ
another,DT
block,NN
it,PRP
's,VBZ
a,DT
little,JJ
further,JJ
that,DT
way,NN
not,RB
quite,RB
that,IN
much,JJ
it,PRP
's,VBZ
just,RB
about,RB
to,TO
turn,VB
corners,NNS
on,IN
the,DT
block,NN
from,IN
the,DT
bottom,NN
left,VBD
there,EX
's,VBZ
one,CD
right,NN
to,TO
the,DT
right,NN
of,IN
it,PRP
touching,VBG
the,DT
side,NN
and,CC
equal,JJ
with,IN
it,PRP
then,RB
the,DT
other,JJ
one,CD
goes,VBZ
in,IN
that,DT
hole,NN
under,IN
the,DT
like,IN
the,DT
yeah,JJ
there,EX
okay,JJ
then,RB
for,IN
the,DT
next,JJ
layer,NN
there,EX
are,VBP
four,CD
blocks,NNS
so,IN
the,DT
first,JJ
one,CD
goes,VBZ
on,IN
top,NN
of,IN
the,DT
very,RB
top,JJ
block,NN
and,CC
to,TO
the,DT
right,NN
a,DT
little,JJ
and,CC
it,PRP
's,VBZ
is,VBZ
French,NNP
's,POS
even,RB
with,IN
the,DT
second,JJ
block,NN
and,CC
then,RB
the,DT
other,JJ
three,CD
are,VBP
lined,VBN
up,RP
blow,NN
that,IN
one,CD
link,NN
the,DT
t-shaped,JJ
tetris,NN
piece,NN
and,CC
then,RB
there,EX
is,VBZ
one,CD
on,IN
the,DT
top,NN
that,WDT
's,VBZ
touching,VBG
the,DT
top,JJ
Block,NNP
&,CC
The,NNP
rightmost,NNP
Block,NNP
yeah,NN
