Word,POS
so,RB
first,JJ
start,NN
by,IN
making,VBG
like,IN
a,DT
five,CD
on,IN
a,DT
dice,NNS
then,RB
on,IN
either,DT
side,NN
of,IN
the,DT
outside,JJ
ones,NNS
good,JJ
legs,NNS
pushed,VBN
together,RB
yeah,NN
like,IN
so,RB
they,PRP
're,VBP
touching,VBG
then,RB
at,IN
the,DT
point,NN
between,IN
that,DT
one,CD
Edge,NNP
and,CC
the,DT
middle,JJ
block,NN
another,DT
block,NN
to,TO
stacked,VBN
on,IN
top,NN
and,CC
the,DT
same,JJ
thing,NN
on,IN
the,DT
other,JJ
side,NN
and,CC
there,EX
's,VBZ
one,NN
on,IN
top,NN
in,IN
between,IN
those,DT
two,CD
that,DT
's,VBZ
good,JJ
