Word,POS
so,RB
in,IN
love,NN
top,JJ
right-hand,JJ
corner,NN
for,IN
you,PRP
there,EX
's,VBZ
threes,NNS
in,IN
the,DT
stack,VBP
starter,JJ
then,RB
like,IN
one,CD
box,NN
was,VBD
over,IN
and,CC
four,CD
down,IN
there,EX
's,VBZ
tuna,NN
stack,VB
then,RB
there,EX
's,VBZ
one,NN
in,IN
the,DT
middle,NN
over,IN
another,DT
block,NN
hands,NNS
up,IN
I,PRP
have,VBP
a,DT
couple,NN
select,VB
a,DT
little,JJ
the,DT
right,NN
you,PRP
're,VBP
right,JJ
yes,RB
sir,NN
then,RB
two,CD
blocks,NNS
to,TO
the,DT
right,NN
of,IN
that,DT
and,CC
one,CD
down,IN
there,EX
's,VBZ
a,DT
stack,VB
of,IN
4,CD
my,PRP$
right,JJ
your,PRP$
left,NN
one,CD
down,RP
and,CC
then,RB
two,CD
blocks,NNS
off,IN
of,IN
.,.
There,EX
's,VBZ
one,CD
block,NN
it,PRP
's,VBZ
a,DT
little,JJ
further,JJ
down,IN
yeah,NN
