Word,Start (s),End (s)
all,0.8,1.2
right,1.2,1.4
next,1.4,2.1
one,2.1,2.4
we're,2.4,2.6
going,2.6,2.7
to,2.7,2.8
build,2.8,2.9
like,2.9,3.2
a,3.2,3.4
pyramid,3.4,4.5
pretty,4.5,4.9
much,4.9,5.2
so,5.2,5.4
take,5.4,7.2
LG,8.1,8.7
like,8.7,8.9
a,8.9,9.0
base,9.0,9.2
of,9.2,9.4
3,9.4,9.5
so,9.5,9.9
if,9.9,9.9
you,9.9,10.0
take,10.0,10.2
one,10.2,10.4
block,10.4,10.7
move,10.7,11.2
a,11.2,11.2
1/2,11.2,11.5
block,11.5,11.7
to,11.7,11.9
the,11.9,11.9
last,11.9,12.4
place,12.4,12.8
another,12.8,13.0
block,13.0,13.4
and,13.4,13.8
a,13.8,14.0
half,14.0,14.2
block,14.2,14.5
to,14.5,14.6
the,14.6,14.6
left,14.6,14.7
Place,14.7,15.2
Another,15.2,15.4
block,15.4,15.7
and,16.6,17.0
I'm,17.0,17.2
pretty,17.2,17.3
much,17.3,17.5
just,17.5,17.7
stack,17.7,18.2
blocks,18.2,18.7
in,18.7,18.8
between,18.8,19.0
all,19.0,19.7
of,19.7,19.8
us,19.8,19.9
I,27.8,28.1
stood,28.1,28.5
