Word,POS
this,DT
one,CD
looks,VBZ
like,IN
it,PRP
's,VBZ
kind,NN
of,IN
busy,JJ
so,RB
start,VB
off,RP
with,IN
like,IN
one,CD
block,NN
on,IN
year,NN
left,VBD
like,IN
far,RB
left,VBN
and,CC
then,RB
about,IN
two,CD
two,CD
and,CC
three,CD
quarters,NNS
to,TO
the,DT
right,NN
of,IN
that,IN
you,PRP
put,VBD
another,DT
block,NN
yeah,NN
and,CC
then,RB
about,IN
like,IN
a,DT
block,NN
across,IN
from,IN
that,DT
you,PRP
put,VBD
another,DT
block,NN
okay,JJ
alright,JJ
so,IN
those,DT
two,CD
blocks,NNS
out,IN
of,IN
like,IN
you,PRP
place,VBP
first,RB
the,DT
one,CD
in,IN
the,DT
file,NN
your,PRP$
fault,NN
yeah,VB
those,DT
two,CD
like,IN
right,JJ
pretty,RB
much,RB
in,IN
between,IN
those,DT
a,DT
little,JJ
bit,NN
like,IN
a,DT
block,NN
in,IN
front,NN
of,IN
that,DT
in,IN
a,DT
little,JJ
bit,NN
to,TO
your,PRP$
left,NN
is,VBZ
where,WRB
you,PRP
can,MD
put,VB
the,DT
next,JJ
box,NN
and,CC
then,RB
you,PRP
need,VBP
to,TO
stack,VB
another,DT
block,NN
on,IN
top,NN
of,IN
that,DT
all,DT
right,NN
and,CC
then,RB
just,RB
based,VBN
on,IN
that,DT
one,CD
if,IN
you,PRP
go,VBP
like,IN
about,IN
about,IN
a,DT
block,NN
in,IN
front,NN
of,IN
that,DT
and,CC
then,RB
slightly,RB
to,TO
your,PRP$
left,NN
itis,RB
good,JJ
and,CC
you,PRP
see,VB
your,PRP$
block,NN
like,IN
closest,JJS
you,PRP
left,VBD
and,CC
right,RB
now,RB
yeah,NN
.,.
That,DT
one,CD
if,IN
you,PRP
go,VBP
looks,VBZ
like,IN
about,IN
a,DT
block-and-a-half,NN
in,IN
front,NN
of,IN
that,DT
and,CC
slightly,RB
more,JJR
to,TO
the,DT
left,NN
yeah,RB
just,RB
it,PRP
just,RB
like,IN
barely,RB
to,TO
the,DT
left,VBN
a,DT
little,JJ
bit,NN
so,RB
yeah,JJ
probably,RB
it,PRP
looks,VBZ
like,IN
a,DT
half,NN
Block,NN
in,IN
front,NN
of,IN
that,IN
you,PRP
put,VBD
another,DT
block,NN
alright,JJ
cool,NN
so,IN
we,PRP
are,VBP
done,VBN
with,IN
that,DT
side,NN
now,RB
and,CC
they,PRP
've,VBP
gone,VBN
to,TO
like,VB
to,TO
the,DT
the,DT
other,JJ
two,CD
blocks,NNS
if,IN
you,PRP
go,VBP
like,IN
in,IN
between,IN
those,DT
two,CD
blocks,NNS
by,IN
one,CD
block,NN
and,CC
then,RB
to,TO
the,DT
right,JJ
side,NN
only,RB
yeah,RB
so,IN
I,PRP
go,VBP
up,RP
another,DT
block,NN
with,IN
that,DT
one,CD
and,CC
then,RB
to,TO
the,DT
right,JJ
side,NN
early,RB
for,IN
that,DT
one,CD
Glock,NNP
is,VBZ
closest,JJS
to,TO
your,PRP$
right,JJ
hand,NN
right,RB
now,RB
your,PRP$
laughter,NN
that,IN
on,IN
the,DT
same,JJ
row,NN
yeah,NN
that,WDT
one,CD
1,CD
and,CC
3/4,CD
in,IN
front,NN
of,IN
that,DT
block,NN
space-wise,NN
play,NN
cell,NN
block,NN
R8,NN
what,WDT
stage,NN
of,IN
sleep,NN
by,IN
black,JJ
bear,NN
and,CC
maybe,RB
separate,JJ
those,DT
two,CD
little,JJ
bit,NN
alright,JJ
cool,NN
and,CC
then,RB
you,PRP
want,VBP
to,TO
put,VB
a,DT
block,NN
on,IN
top,NN
of,IN
those,DT
two,CD
right,JJ
there,EX
yeah,VBP
it,PRP
actually,RB
it,PRP
's,VBZ
really,RB
good,JJ
one,CD
more,JJR
block,NN
I,PRP
guess,VBP
so,RB
all,DT
right,NN
in,IN
front,NN
of,IN
the,DT
farthest,JJS
right,JJ
block,NN
about,IN
yeah,JJ
yeah,NN
that,IN
one,CD
yes,RB
sir,NN
from,IN
the,DT
back,JJ
one,CD
if,IN
it,PRP
's,VBZ
like,IN
about,IN
two,CD
and,CC
a,DT
half,NN
blocks,VBZ
in,IN
front,NN
of,IN
that,DT
yeah,NN
and,CC
then,RB
just,RB
a,DT
little,JJ
bit,NN
more,RBR
up,RB
and,CC
then,RB
pushed,VBN
in,IN
a,DT
little,JJ
bit,NN
yeah,NN
maybe,RB
even,RB
a,DT
little,JJ
bit,NN
more,RBR
out,IN
of,IN
that,DT
block,NN
Prime,NNP
wardrobe,NN
