Word,POS
okay,JJ
dude,NN
so,RB
start,VB
off,RP
with,IN
just,RB
a,DT
block,NN
and,CC
then,RB
put,VBD
a,DT
block,NN
on,IN
top,NN
of,IN
that,DT
and,CC
then,RB
the,DT
third,JJ
block,NN
is,VBZ
it,PRP
's,VBZ
on,IN
top,NN
of,IN
that,DT
block,NN
but,CC
it,PRP
's,VBZ
pushed,VBN
just,RB
slightly,RB
to,TO
the,DT
right,NN
off,IN
of,IN
it,PRP
is,VBZ
to,TO
be,VB
right,JJ
yeah,JJ
yeah,NN
except,IN
it,PRP
's,VBZ
a,DT
little,JJ
bit,NN
less,JJR
than,IN
that,DT
maybe,RB
a,DT
little,JJ
bit,NN
less,RBR
it,PRP
's,VBZ
just,RB
like,IN
barely,RB
not,RB
on,IN
top,NN
of,IN
it,PRP
yes,RB
but,CC
I,PRP
get,VBP
this,DT
right,NN
you,PRP
right,RB
there,EX
and,CC
then,RB
you,PRP
going,VBG
to,TO
do,VB
the,DT
same,JJ
thing,NN
with,IN
the,DT
4th,JJ
block,NN
pushed,VBD
off,RP
like,IN
the,DT
same,JJ
direction,NN
yeah,JJ
yeah,JJ
same,JJ
direction,NN
that,IN
that,DT
's,VBZ
push-up,JJ
you,PRP
yeah,NN
that,WDT
's,VBZ
getting,VBG
it,PRP
it,PRP
looks,VBZ
like,IN
the,DT
the,DT
next,JJ
block,NN
is,VBZ
almost,RB
directly,RB
on,IN
top,NN
of,IN
that,DT
maybe,RB
just,RB
pushed,VBN
like,IN
slightly,RB
in,IN
the,DT
same,JJ
but,CC
yet,RB
perfectly,RB
that,DT
's,VBZ
good,JJ
and,CC
then,RB
the,DT
final,JJ
one,CD
is,VBZ
just,RB
pretty,RB
much,JJ
exactly,RB
on,IN
top,NN
of,IN
it,PRP
