Word,Start (s),End (s)
okay,0.4,4.5
dude,4.5,4.8
so,4.8,4.9
start,4.9,5.4
off,5.4,5.6
with,5.6,5.7
just,5.7,5.8
a,5.8,6.6
block,6.6,7.1
and,7.1,7.6
then,7.6,7.7
put,7.7,7.9
a,7.9,8.0
block,8.0,8.2
on,8.2,8.3
top,8.3,8.5
of,8.5,8.6
that,8.6,8.7
and,11.5,11.9
then,11.9,12.2
the,12.2,13.0
third,13.0,13.4
block,13.4,13.8
is,13.8,15.1
it's,15.1,17.0
on,17.0,17.3
top,17.3,17.5
of,17.5,17.6
that,17.6,17.7
block,17.7,18.1
but,18.1,18.3
it's,18.3,18.4
pushed,18.4,19.0
just,19.0,19.4
slightly,19.4,19.9
to,19.9,20.1
the,20.1,20.2
right,20.2,20.3
off,20.3,20.8
of,20.8,20.9
it,20.9,21.2
is,23.0,23.4
to,23.4,23.6
be,23.6,23.8
right,23.8,24.2
yeah,27.6,29.3
yeah,29.3,29.4
except,29.4,31.2
it's,31.2,31.4
a,31.4,31.5
little,31.5,31.6
bit,31.6,31.8
less,31.8,32.1
than,32.1,32.4
that,32.4,32.5
maybe,34.4,34.9
a,34.9,35.0
little,35.0,35.2
bit,35.2,35.4
less,35.4,35.6
it's,35.6,35.8
just,35.8,35.8
like,35.8,36.1
barely,36.1,36.5
not,36.5,36.8
on,36.8,38.0
top,38.0,38.3
of,38.3,38.4
it,38.4,38.6
yes,39.5,40.0
but,40.0,40.2
I,40.2,40.2
get,40.2,40.4
this,40.4,40.5
right,40.5,40.7
you,40.7,40.9
right,40.9,41.0
there,41.0,41.3
and,42.2,42.6
then,42.6,42.9
you,42.9,43.0
going,43.0,43.1
to,43.1,43.2
do,43.2,43.4
the,43.4,43.5
same,43.5,43.7
thing,43.7,44.1
with,44.1,44.3
the,44.3,44.5
4th,44.5,45.0
block,45.0,45.2
pushed,45.2,46.7
off,46.7,46.9
like,46.9,47.0
the,47.0,47.2
same,47.2,47.5
direction,47.5,47.9
yeah,52.6,53.0
yeah,53.0,53.1
same,53.1,54.2
direction,54.2,54.3
that,54.3,54.6
that's,54.6,54.9
push-up,54.9,55.4
you,55.4,55.5
yeah,57.7,58.1
that's,58.1,58.5
getting,58.5,58.7
it,58.7,58.9
it,58.9,61.2
looks,61.2,61.4
like,61.4,61.5
the,61.5,62.3
the,63.9,64.3
next,64.3,64.6
block,64.6,64.8
is,64.8,65.1
almost,65.1,66.0
directly,66.0,66.1
on,66.1,66.6
top,66.6,66.7
of,66.7,66.9
that,66.9,67.0
maybe,72.9,73.4
just,73.4,73.6
pushed,73.6,73.8
like,73.8,73.9
slightly,73.9,74.4
in,75.9,76.2
the,76.2,76.3
same,76.3,76.5
but,76.5,76.6
yet,76.6,77.0
perfectly,77.0,77.2
that's,77.2,77.8
good,77.8,78.1
and,79.0,79.7
then,79.7,81.0
the,81.0,81.1
final,81.1,81.6
one,81.6,81.9
is,81.9,82.0
just,82.0,82.3
pretty,82.3,83.1
much,83.1,83.3
exactly,83.3,83.6
on,83.6,84.0
top,84.0,84.2
of,84.2,84.3
it,84.3,84.5
