Word,POS
so,RB
shut,VBN
up,RP
put,VBD
one,CD
block,NN
down,IN
and,CC
then,RB
you,PRP
're,VBP
basically,RB
making,VBG
a,DT
Big,JJ
Al,NNP
so,RB
five,CD
blocks,NNS
going,VBG
horizontally,RB
and,CC
then,RB
right,RB
in,IN
front,NN
of,IN
it,PRP
distributed,VBN
yes,RB
starting,VBG
day,NN
yeah,VB
it,PRP
's,VBZ
to,TO
your,PRP$
left,NN
we,PRP
have,VBP
yet,RB
so,RB
I,PRP
did,VBD
a,DT
bad,JJ
job,NN
explaining,VBG
this,DT
yeah,JJ
I,PRP
guess,VBP
that,IN
works,VBZ
too,RB
honestly,RB
yeah,JJ
yeah,NN
you,PRP
can,MD
do,VB
it,PRP
that,DT
way,NN
it,PRP
sounds,VBZ
good,JJ
do,VB
5,CD
blocks,NNS
long,RB
and,CC
then,RB
the,DT
actual,JJ
Elkhart,NNP
just,RB
one,CD
black,JJ
or,CC
one,CD
block,NN
up,IN
