Word,POS
okay,JJ
I,PRP
need,VBP
for,IN
base,NN
again,RB
and,CC
it,PRP
's,VBZ
going,VBG
to,TO
be,VB
like,IN
a,DT
fan,NN
or,CC
sound,NN
wave,NN
going,VBG
out,RP
so,RB
like,IN
Stand,VB
Out,IN
away,RB
from,IN
you,PRP
just,RB
for,IN
sober,JJ
okay,JJ
so,IN
think,NN
of,IN
like,IN
a,DT
WiFi,NN
signal,NN
with,IN
a,DT
u,FW
shape,NN
the,DT
next,JJ
one,CD
is,VBZ
3,CD
on,IN
top,NN
of,IN
those,DT
just,RB
like,VB
your,PRP$
building,VBG
a,DT
tower,NN
and,CC
then,RB
take,VB
the,DT
two,CD
on,IN
top,JJ
so,IN
we,PRP
're,VBP
building,VBG
up,RP
even,RB
column,NN
I,PRP
guess,VBP
so,RB
if,IN
the,DT
base,NN
is,VBZ
going,VBG
to,TO
have,VB
4,CD
seconds,NNS
going,VBG
to,TO
have,VB
3,CD
into,IN
on,IN
top,NN
of,IN
that,DT
and,CC
then,RB
one,CD
