Word,Start (s),End (s)
going,3.0,3.9
to,3.9,4.0
make,4.0,4.1
a,4.1,4.2
bridge,4.2,4.7
at,4.7,4.9
a,4.9,4.9
three,4.9,5.2
blocks,5.2,5.7
so,7.6,7.9
get,7.9,8.1
three,8.1,8.4
and,13.9,14.3
then,14.3,14.6
the,14.6,14.7
top,14.7,14.9
one,14.9,15.2
is,15.2,15.5
going,15.5,15.8
to,15.8,15.8
be,15.8,16.0
like,16.0,16.6
the,16.6,16.7
bridge,16.7,17.0
across,17.0,17.1
both,17.1,17.5
of,17.5,17.6
them,17.6,17.8
and,17.8,18.4
rotate,18.4,18.8
it,18.8,18.9
so,18.9,19.1
the,19.1,19.2
the,19.2,20.3
corners,20.3,20.6
going,20.6,20.8
down,20.8,21.2
towards,21.2,22.2
the,22.2,22.3
table,22.3,22.4
