Word,Start (s),End (s)
okay,5.8,6.4
all,6.4,6.5
done,6.5,6.7
straight,6.7,7.1
up,7.1,7.3
tell,7.3,8.3
your,8.3,9.6
block,9.6,9.9
then,11.3,11.8
put,11.8,12.0
it,12.0,12.1
I,12.1,12.3
guess,12.3,12.6
on,12.6,13.4
the,13.4,13.5
right,13.5,13.8
side,13.8,14.3
I,17.7,18.0
guess,18.0,18.3
you're,18.3,18.4
right,18.4,18.4
and,20.0,20.4
then,20.4,20.6
take,20.6,20.8
another,20.8,20.9
block,20.9,21.5
stack,21.5,21.9
on,21.9,22.1
top,22.1,22.3
of,22.3,22.4
that,22.4,22.5
block,22.5,22.8
you,22.8,22.9
just,22.9,23.1
put,23.1,23.4
how,24.8,25.4
to,25.4,25.4
make,25.4,25.6
my,25.6,25.7
room,25.7,25.9
then,25.9,26.3
go,26.3,26.5
over,26.5,27.3
one,27.3,27.8
and,27.8,27.9
then,27.9,28.1
up,28.1,28.3
one,28.3,28.6
so,28.6,28.7
it,28.7,28.8
be,28.8,28.9
diagonal,28.9,29.4
all,31.7,32.1
right,32.1,32.4
and,32.4,32.6
then,32.6,32.8
take,32.8,33.1
two,33.1,33.3
more,33.3,33.5
blocks,33.5,33.7
in,33.7,34.0
stack,34.0,34.1
on,34.1,34.4
top,34.4,34.5
of,34.5,34.6
that,34.6,34.9
one,34.9,35.2
