Word,Start (s),End (s)
say,10.0,11.1
can,11.1,12.5
I,12.5,12.6
have,12.6,12.7
taking,14.6,15.2
have,15.2,15.4
one,15.4,15.6
block,15.6,15.9
just,15.9,16.3
I,16.3,16.7
guess,16.7,16.9
more,16.9,17.3
on,17.3,17.5
the,17.5,17.6
right,17.6,17.8
and,19.9,20.4
then,20.4,20.9
it's,20.9,21.9
going,21.9,21.9
to,21.9,22.1
be,22.1,22.1
like,22.1,22.3
I,22.3,22.4
just,22.4,22.7
a,22.7,24.0
space,24.0,24.4
about,24.4,25.0
the,25.0,25.1
size,25.1,25.4
of,25.4,25.4
block,25.4,25.7
and,25.7,26.0
then,26.0,26.1
another,26.1,26.4
block,26.4,26.8
that,26.8,27.0
makes,27.0,27.1
sense,27.1,27.5
I,28.9,29.4
just,29.4,29.8
found,29.8,30.0
at,30.0,30.3
like,30.3,30.5
the,30.5,30.6
same,30.6,30.6
just,31.9,33.0
like,33.0,33.1
across,33.1,33.4
from,33.4,33.6
it,33.6,33.8
like,37.1,38.7
over,38.7,38.9
yeah,38.9,39.9
I'm,41.3,42.0
a,42.0,42.5
man,42.5,42.8
wear,42.8,43.0
that,43.0,43.2
spaces,43.2,43.9
in,43.9,43.9
between,43.9,44.0
those,44.0,44.5
two,44.5,44.7
take,46.3,46.8
one,46.8,46.9
and,46.9,47.1
then,47.1,47.1
put,47.1,47.3
it,47.3,47.4
above,47.4,47.6
that,47.6,47.9
space,47.9,48.3
so,48.3,49.2
I'll,49.2,49.3
be,49.3,49.4
diagonal,49.4,49.8
to,49.8,50.0
both,50.0,50.2
those,50.2,50.4
okay,51.8,52.2
and,52.2,52.8
then,52.8,52.9
another,52.9,54.2
one,54.2,54.5
then,60.2,60.6
have,60.6,60.7
another,60.7,61.0
one,61.0,61.2
like,61.2,61.4
a,61.4,61.5
block,61.5,61.9
space,61.9,62.4
away,62.4,62.7
from,62.7,62.8
that,62.8,63.1
block,63.1,63.4
they,63.4,63.5
just,63.5,63.7
placed,63.7,64.1
so,64.1,64.3
it,64.3,64.5
be,64.5,64.6
a,64.6,64.7
diagonal,64.7,65.2
but,67.1,68.2
on,68.2,68.3
the,68.3,68.3
same,68.3,68.6
level,68.6,69.2
so,71.8,72.2
I,72.2,72.3
move,72.3,72.5
it,72.5,72.6
over,72.6,72.7
so,72.7,72.8
it's,72.8,73.0
like,73.0,73.1
dying,73.1,73.4
or,73.4,73.6
just,73.6,73.8
one,73.8,74.0
of,74.0,74.0
the,74.0,74.2
blocks,74.2,74.6
on,74.6,74.8
the,74.8,74.8
bottom,74.8,75.1
level,75.1,75.3
yeah,76.4,76.8
all,78.4,78.8
right,78.8,79.1
and,79.1,79.6
then,79.6,80.0
you,80.0,80.2
going,80.2,80.3
to,80.3,80.3
have,80.3,80.4
let,85.5,85.9
it,85.9,86.0
go,86.0,86.0
put,86.0,86.2
another,86.2,86.3
block,86.3,86.9
on,87.8,88.3
top,88.3,88.7
of,88.7,89.0
I,90.7,91.1
got,91.1,91.3
the,91.3,91.4
ones,91.4,91.6
like,91.6,91.7
and,91.7,91.9
then,91.9,92.0
a,92.0,92.0
guy,92.0,92.2
died,92.2,92.4
in,92.4,92.5
a,92.5,92.6
block,92.6,92.9
then,92.9,93.1
put,93.1,93.3
a,93.3,93.4
block,93.4,93.8
on,93.8,93.9
top,93.9,94.3
of,94.3,94.5
those,94.5,94.6
ones,94.6,95.1
so,96.1,96.6
be,96.6,96.8
like,96.8,97.0
so,101.3,101.6
it's,101.6,101.8
going,101.8,101.9
to,101.9,102.0
be,102.0,102.0
on,102.0,102.5
top,102.5,102.6
of,102.6,102.8
two,103.9,104.3
blocks,104.3,104.7
I,104.7,105.5
guess,105.5,105.7
I,105.7,105.8
will,105.8,105.9
stay,105.9,106.1
one,106.1,106.2
just,106.2,106.4
be,106.4,106.4
on,106.4,106.6
one,106.6,106.7
but,108.3,109.1
then,109.1,109.3
I,109.3,109.3
move,109.3,109.6
it,109.6,109.7
over,109.7,109.9
so,109.9,110.1
on,110.1,110.7
top,110.7,110.8
of,110.8,111.1
both,111.1,111.8
bottom,111.8,112.2
lashes,112.2,112.4
that,112.4,112.5
make,112.5,112.8
sense,112.8,113.0
yeah,113.0,113.6
no,122.0,122.5
I,122.5,122.6
mean,122.6,122.7
that,122.7,122.9
says,122.9,123.2
just,123.2,123.6
they're,123.6,123.8
supposed,123.8,124.2
and,124.2,124.4
then,124.4,124.7
the,124.7,124.8
last,124.8,125.0
block,125.0,125.4
has,125.4,125.6
to,125.6,125.6
be,125.6,125.8
on,125.8,126.0
top,126.0,126.2
of,126.2,126.3
those,126.3,126.5
two,126.5,126.7
boxes,126.7,126.9
that,126.9,127.2
you,127.2,127.3
just,127.3,127.4
placed,127.4,127.8
although,127.8,128.0
it,128.0,128.1
doesn't,128.1,128.3
like,128.3,128.5
it's,128.5,128.6
close,128.6,128.9
enough,128.9,129.0
to,129.0,129.5
be,129.5,129.7
possible,129.7,130.2
oh,130.8,131.3
yeah,131.3,131.6
naked,136.1,137.1
hospital,137.1,137.7
I,137.7,138.2
am,138.2,138.5
at,138.5,138.7
work,138.7,138.9
and,138.9,139.7
I,139.7,139.8
just,139.8,139.9
need,139.9,140.1
a,140.1,140.1
block,140.1,140.4
on,140.4,140.5
top,140.5,140.7
of,140.7,140.8
those,140.8,141.0
two,141.0,141.2
blocks,141.2,141.4
that,141.4,141.8
you,141.8,141.9
just,141.9,142.1
placed,142.1,142.5
