Word,POS
can,MD
I,PRP
have,VB
a,DT
black,JJ
I,PRP
just,RB
like,IN
probably,RB
all,PDT
the,DT
way,NN
on,IN
the,DT
earliest,JJS
like,IN
it,PRP
's,VBZ
going,VBG
to,TO
be,VB
the,DT
last,JJ
most,RBS
block,VB
then,RB
you,PRP
going,VBG
to,TO
have,VB
another,DT
block,NN
on,IN
the,DT
same,JJ
like,IN
line,NN
as,IN
it,PRP
but,CC
just,RB
like,IN
half,PDT
a,DT
block,NN
of,IN
party,NN
looks,VBZ
like,IN
then,RB
another,DT
black,JJ
half,NN
apart,RB
on,IN
that,DT
one,CD
and,CC
then,RB
the,DT
4th,JJ
block,NN
like,IN
half,PDT
a,DT
block,NN
apart,RB
and,CC
we,PRP
all,DT
good,JJ
