Word,Start (s),End (s)
check,1.0,1.7000000000000002
can,2.7,3.1
I,3.1,3.1
have,3.1,3.4
like,3.4,3.8
so,5.9,6.3
you,6.3,6.3
can,6.3,6.5
have,6.5,6.5
a,6.5,6.6
rectangle,6.6,7.2
but,7.2,7.3
just,7.3,7.6
put,7.6,7.7
like,7.7,8.0
four,8.0,8.3
corners,8.3,8.6
of,8.6,8.9
a,8.9,8.9
rectangle,8.9,9.5
that,9.5,9.6
make,9.6,9.8
sense,9.8,10.1
it's,11.2,11.6
like,11.6,11.8
one,11.8,12.0
on,12.0,12.2
each,12.2,12.4
edge,12.4,12.6
of,12.6,12.8
the,12.8,12.8
rectangle,12.8,13.5
and,13.5,17.0
then,17.0,17.3
have,17.3,17.4
one,17.4,17.7
in,17.7,17.8
like,17.8,17.9
a,17.9,18.0
very,18.0,18.1
center,18.1,18.6
alright,21.2,21.7
yeah,21.7,21.9
we,21.9,22.1
all,22.1,22.2
good,22.2,22.6
