Word,Start (s),End (s)
please,1.9,2.8
sir,2.8,3.6
going,3.6,3.8
to,3.8,3.9
be,3.9,4.0
like,4.0,4.3
a,4.3,4.4
rectangular,4.4,4.6
base,4.6,5.5
of,5.5,5.8
6,5.8,6.4
2,6.4,7.4
by,7.4,7.4
3,7.4,7.8
yes,8.9,10.1
with,15.2,16.3
the,16.3,16.4
bigger,16.4,16.8
side,16.8,17.1
to,19.8,20.5
me,20.5,20.6
it's,20.6,21.3
always,21.3,21.4
me.,21.4,23.0
They're,23.0,23.4
going,23.4,23.6
to,23.6,23.7
be,23.7,23.7
all,23.7,24.2
connected,24.2,25.0
and,25.0,25.4
a,25.4,25.6
Wither,25.6,25.8
yeah,25.8,26.1
and,26.1,26.4
they're,26.4,26.6
all,26.6,26.7
connected,26.7,26.9
and,29.3,29.9
let's,29.9,31.1
make,31.1,31.3
a,31.3,31.4
pyramid,31.4,32.6
by,32.6,33.5
adding,33.5,34.0
two,34.0,34.4
two,34.4,34.9
and,34.9,35.3
one,35.3,35.6
