Word,Start (s),End (s)
Canto,0.8,2.4
6,2.4,3.1
of,3.1,3.3
each,3.3,3.5
next,13.6,14.2
to,14.2,14.3
each,14.3,14.4
other,14.4,14.6
completely,14.6,15.8
and,15.8,17.9
then,17.9,17.9
they'll,17.9,18.4
be,18.4,19.1
right,19.1,19.6
then,19.6,20.7
I'm,20.7,21.0
your,21.0,21.1
right,21.1,21.5
each,21.5,22.0
block,22.0,22.3
shoot,22.3,23.6
call,24.6,25.0
Mom,25.0,25.3
evenly,25.3,27.3
starting,27.3,28.2
from,28.2,28.4
the,28.4,28.5
second,28.5,28.9
one,28.9,29.0
from,29.0,29.4
bottom,30.4,31.0
to,31.0,31.4
the,31.4,31.4
top,31.4,31.6
excluding,31.6,33.1
the,33.1,33.4
department,33.4,34.3
so,34.3,34.7
start,34.7,35.7
from,35.7,35.9
the,35.9,36.0
second,36.0,36.5
one,36.5,36.7
instead,,37.7,39.3
for,39.3,40.1
a,40.1,40.4
little,40.4,40.6
bit,40.6,41.0
a,41.0,41.4
little,41.4,41.4
bit,41.4,42.5
more,42.5,42.9
and,42.9,43.1
more,43.1,43.2
and,43.2,43.5
more,43.5,43.5
salt,43.5,44.2
so,44.2,46.9
this,46.9,47.1
Tower,47.1,47.5
will,47.5,47.8
be,47.8,48.0
some,48.0,48.4
kind,48.4,48.7
of,48.7,48.9
like,48.9,50.4
not,51.9,52.3
very,52.3,52.6
stable,52.6,53.2
Tower,53.2,53.7
why,55.9,56.3
are,56.3,56.4
you,56.4,56.6
moving,56.6,56.9
yes,58.5,59.0
thanks,66.6,69.2
