Word,POS
two,CD
blocks,NNS
screw,VB
them,PRP
over,IN
a,DT
little,JJ
bit,NN
they,PRP
're,VBP
together,RB
okay,JJ
.,.
Either,CC
way,NN
does,VBZ
n't,RB
matter,VB
which,WDT
way,NN
get,VB
them,PRP
off,RP
to,TO
the,DT
side,NN
is,VBZ
what,WP
I,PRP
'm,VBP
saying,VBG
oh,UH
good,JJ
good,JJ
okay,JJ
about,IN
one,CD
block,NN
apart,RB
put,VBD
another,DT
block,NN
okay,JJ
now,RB
pick,VBP
up,RP
a,DT
block,NN
rotated,VBN
like,IN
a,DT
diamonds,NNS
in,IN
set,VBN
it,PRP
between,IN
them,PRP
okay,JJ
I,PRP
'm,VBP
sorry,JJ
Liz,NNP
stop,VB
stop,VB
it,PRP
's,VBZ
going,VBG
to,TO
be,VB
vertical,JJ
it,PRP
's,VBZ
not,RB
on,IN
the,DT
table,NN
is,VBZ
held,VBN
up,RP
by,IN
the,DT
other,JJ
block,NN
list,NN
it,PRP
up,RB
now,RB
lift,VB
it,PRP
up,RP
and,CC
screwed,VBD
up,RP
keep,VB
lifting,VBG
screwed,VBD
it,PRP
in,IN
school,NN
it,PRP
in,IN
good,JJ
enough,RB
now,RB
do,VBP
the,DT
same,JJ
thing,NN
again,RB
to,TO
your,PRP$
right,NN
do,VBP
n't,RB
know,VB
just,RB
what,WP
I,PRP
'm,VBP
sorry,JJ
just,RB
one,CD
block,NN
enough,RB
