Word,POS
problock,NN
pretty,RB
far,RB
forward,RB
come,VB
back,RB
to,TO
blocks,NNS
but,CC
what,WP
I,PRP
'm,VBP
sorry,JJ
get,VB
another,DT
block,NN
right,JJ
come,VBN
back,RB
to,TO
blocks,NNS
screwed,VBD
over,IN
one,CD
gay,JJ
pick,NN
up,RP
another,DT
block,NN
put,VB
it,PRP
next,JJ
to,TO
the,DT
block,NN
just,RB
put,VBD
down,RP
other,JJ
side,NN
K,NNP
now,RB
move,VBP
it,PRP
one,CD
block,NN
Gap,NN
yes,RB
one,CD
blog,NN
app,NN
okay,JJ
and,CC
then,RB
two,CD
blocks,NNS
forward,RB
yes,RB
same,JJ
one,CD
and,CC
what,WP
would,MD
move,VB
it,PRP
back,RB
one,CD
block,NN
okay,JJ
and,CC
then,RB
to,TO
it,PRP
's,VBZ
your,PRP$
left,NN
but,CC
another,DT
Block,NNP
Chain,NNP
scooted,VBD
all,PDT
the,DT
way,NN
back,RB
until,IN
it,PRP
's,VBZ
parallel,JJ
with,IN
the,DT
other,JJ
one,CD
that,WDT
's,VBZ
it,PRP
right,JJ
