Word,Start (s),End (s)
alright,3.0,3.7
so,3.7,4.0
we,4.0,4.3
will,4.3,4.5
do,4.5,4.7
older,4.7,5.8
tower,5.8,6.2
now,6.2,6.4
will,6.4,6.6
be,6.6,6.8
the,6.8,6.9
field,6.9,7.3
at,7.3,7.4
Tower,7.4,7.8
I,7.8,8.8
will,8.8,9.0
have,9.0,9.2
6,9.2,9.7
blocks,9.7,10.1
to,10.1,10.7
just,10.7,11.0
make,11.0,11.3
6,11.3,11.6
months,11.6,11.9
please,11.9,12.1
and,13.3,14.1
just,14.1,14.4
trading,14.4,14.9
them,14.9,15.0
up,15.0,15.2
like,15.2,15.7
burning,15.7,16.1
Italy,16.1,16.5
I,20.6,22.0
think,22.0,22.4
there's,22.4,22.6
one,22.6,22.7
there,22.7,23.1
I,23.1,23.3
like,23.3,23.6
the,23.6,23.7
second,23.7,24.0
one,24.0,24.1
it's,24.1,24.5
not,24.5,24.6
a,24.6,24.7
stray,24.7,25.1
so,26.7,27.8
now,27.8,28.4
we'll,28.4,28.8
stagger,28.8,29.3
in,29.3,29.9
a,29.9,30.0
little,30.0,30.4
bit,30.4,30.8
so,30.8,31.0
the,31.0,31.2
first,31.2,31.6
two,31.6,31.8
will,31.8,32.0
be,32.0,32.2
aligned,32.2,32.6
and,32.6,34.5
then,34.5,34.6
the,34.6,36.5
third,36.5,37.0
will,37.0,37.3
be,37.3,37.5
moved,37.5,38.5
a,38.5,38.6
little,38.6,38.7
bit,38.7,39.0
to,39.0,39.2
your,39.2,39.4
right,39.4,39.8
and,41.6,42.1
then,42.1,42.5
yeah,42.5,42.7
and,42.7,43.2
then,43.2,43.4
the,43.4,43.5
other,43.5,43.6
boys,43.6,44.7
and,44.7,47.3
then,47.3,47.5
the,47.5,47.6
fourth,47.6,48.0
a,48.0,48.1
little,48.1,48.4
bit,48.4,48.6
to,48.6,48.7
your,48.7,48.8
right,48.8,49.1
as,49.1,49.2
well,49.2,49.5
okay,52.3,52.9
and,52.9,53.5
he's,53.5,55.1
a,55.1,55.2
little,55.2,55.4
bit,55.4,55.6
to,55.6,55.7
write,55.7,56.0
again,56.0,56.1
and,57.9,58.3
then,58.3,58.5
you,58.5,58.6
will,58.6,58.8
leave,58.8,59.0
it,59.0,59.1
all,59.1,59.2
to,59.2,59.4
stop,59.4,59.5
six,59.5,60.6
one,60.6,60.8
online,60.8,61.1
and,61.1,61.2
then,61.2,61.5
just,61.5,62.1
little,62.1,62.5
bit,62.5,62.8
less,62.8,63.1
space,63.1,63.3
please,63.3,63.7
yeah,63.7,65.2
