Word,POS
okay,JJ
so,RB
will,MD
these,DT
four,CD
blocks,NNS
single,JJ
layer,NN
and,CC
just,RB
booth,NN
okay,JJ
so,IN
we,PRP
'll,MD
have,VB
three,CD
on,IN
a,DT
roll,NN
of,IN
three,CD
close,JJ
to,TO
you,PRP
okay,JJ
and,CC
then,RB
the,DT
one,CD
that,IN
it,PRP
's,VBZ
to,TO
your,PRP$
left,VBN
to,TO
your,PRP$
left,VBN
most,RBS
yes,RB
just,RB
slightly,RB
apart,RB
from,IN
the,DT
other,JJ
two,CD
.,.
Not,RB
too,RB
much,RB
less,JJR
let,VB
's,POS
please,VB
just,RB
a,DT
line,NN
let,VB
's,POS
just,RB
a,DT
ray,NN
of,IN
light,JJ
going,VBG
on,IN
there,EX
or,CC
going,VBG
there,RB
now,RB
if,IN
that,DT
's,VBZ
too,RB
much,JJ
that,IN
's,POS
okay,JJ
real,JJ
flights,NNS
it,PRP
's,VBZ
a,DT
stingray,NN
but,CC
that,DT
's,VBZ
okay,JJ
and,CC
then,RB
the,DT
other,JJ
one,CD
the,DT
fourth,JJ
block,NN
the,DT
ones,NNS
that,WDT
is,VBZ
free,JJ
just,RB
in,IN
front,NN
of,IN
the,DT
one,CD
that,IN
it,PRP
's,VBZ
to,TO
your,PRP$
left,NN
okay,JJ
but,CC
are,VBP
you,PRP
can,MD
just,RB
make,VB
a,DT
block,NN
space,NN
room,NN
and,CC
a,DT
little,JJ
bit,NN
to,TO
your,PRP$
left,VBN
so,RB
that,IN
it,PRP
's,VBZ
less,JJR
please,VB
okay,JJ
yeah,NN
