Word,Start (s),End (s)
okay,0.6000000000000001,2.2
so,2.2,2.5
all,2.5,2.8
this,2.8,2.9
reminds,2.9,3.3
me,3.3,3.4
of,3.4,3.5
me,3.5,3.8
on,3.8,4.0
Berlin,4.0,4.4
it's,4.4,5.2
a,5.2,5.3
bear,7.3,7.7
livestock,7.7,8.1
okay,8.1,8.9
not,8.9,10.9
really,10.9,11.1
sorry,11.1,11.6
don't,11.6,12.1
forget,12.1,12.5
about,12.5,12.6
that,12.6,12.8
it's,12.8,13.3
not,13.3,13.5
the,13.5,13.5
right,13.5,13.7
sick,13.7,14.0
anyway,14.0,14.6
so,14.6,14.8
we'll,14.8,15.1
have,15.1,15.3
to,15.3,15.8
but,15.8,16.4
it's,16.4,16.6
still,16.6,16.8
early,16.8,17.0
so,17.0,17.5
we'll,17.5,17.8
have,17.8,18.1
two,18.1,18.4
blocks,18.4,18.7
satellite,18.7,20.3
apart,20.3,21.4
from,21.4,21.5
each,21.5,21.7
other,21.7,21.8
yeah,21.8,22.2
I,22.2,22.4
block,22.4,22.8
space,22.8,23.2
I,23.2,24.0
block,24.0,24.3
space,24.3,24.6
yeah,24.6,24.8
exactly,24.8,25.2
was,25.2,25.5
so,25.5,25.7
that's,25.7,25.8
our,25.8,26.0
new,26.0,26.2
unit,26.2,26.6
of,26.6,26.7
measurement,26.7,27.2
right,27.2,27.3
block,27.3,27.6
space,27.6,28.0
and,28.0,28.8
we'll,28.8,28.9
have,28.9,29.1
another,29.1,29.3
blog,29.3,29.8
just,30.8,31.6
falling,31.6,32.1
down,32.1,32.6
as,32.6,32.8
if,32.8,33.0
it's,33.0,33.2
just,33.2,33.5
for,33.5,33.7
fell,33.7,34.0
down,34.0,34.2
from,34.2,34.4
heaven,34.4,34.8
right,34.8,35.9
hold,35.9,37.4
on,37.4,37.5
from,37.5,37.7
the,37.7,37.9
crown,37.9,38.2
right,38.2,38.6
so,38.6,39.2
it,39.2,40.1
will,40.1,40.3
be,40.3,40.3
there,40.3,40.5
I,40.5,40.6
don't,40.6,40.7
know,40.7,40.8
like,40.8,41.7
it,41.7,41.9
died,41.9,42.0
a,42.0,42.1
month,42.1,42.4
but,42.4,43.7
that,43.7,44.1
should,44.1,44.3
be,44.3,44.3
on,44.3,44.8
top,44.8,45.0
on,45.0,45.3
top,45.3,45.4
of,45.4,45.7
the,45.7,45.9
other,45.9,46.2
blocks,46.2,46.9
yeah,46.9,47.9
but,47.9,48.0
the,48.0,48.1
opposite,48.1,48.5
way,48.5,48.7
like,48.7,49.0
it,49.0,51.8
so,51.8,52.1
exactly,54.1,54.9
just,54.9,55.1
turn,55.1,55.4
it,55.4,55.6
turn,55.6,56.6
it,56.6,56.7
vertical,56.7,57.3
not,57.3,66.8
not,66.8,67.0
too,67.0,67.2
much,67.2,67.4
can,67.4,68.7
you,68.7,68.8
just,68.8,69.0
open,69.0,69.1
it,69.1,69.5
open,69.5,70.0
it,70.0,70.0
a,70.0,70.2
little,70.2,70.4
bit,70.4,70.6
okay,70.6,74.8
