Word,Start (s),End (s)
alright,0.2,0.8
so,0.8,1.2
this,1.2,1.9
reminds,1.9,2.2
me,2.2,2.3
of,2.3,2.4
Minecraft,2.4,2.8
yeah,2.8,5.6
because,5.6,5.7
for,5.7,6.6
some,6.6,6.8
reason,6.8,6.9
these,6.9,7.2
cards,7.2,7.6
are,7.6,7.9
old,7.9,8.1
square-headed,8.1,9.1
right,9.1,9.4
so,9.4,9.9
let's,9.9,10.0
let's,10.0,10.7
just,10.7,10.8
use,10.8,11.0
five,11.0,11.4
blocks,11.4,11.8
for,11.8,11.9
the,11.9,12.0
first,12.0,12.3
layer,12.3,12.7
and,14.0,14.6
we,14.6,14.8
will,14.8,15.1
put,15.1,16.1
them,16.1,16.2
will,16.2,16.9
separate,16.9,17.4
us,17.4,17.9
little,17.9,18.9
space,18.9,19.4
for,19.4,19.5
separation,19.5,20.0
that,20.0,20.2
I,20.2,20.3
will,20.3,20.5
be,20.5,20.7
like,20.7,20.9
a,20.9,21.0
force,21.0,21.6
of,21.6,21.7
the,21.7,21.8
block,21.8,22.2
yes,23.5,23.9
and,27.4,27.9
then,27.9,29.8
we,29.8,30.2
will,30.2,30.4
use,30.4,30.9
for,30.9,31.3
on,31.3,32.2
top,32.2,32.6
as,32.6,32.8
a,32.8,32.8
second,32.8,33.1
layer,33.1,33.3
and,33.3,34.0
just,34.0,34.3
make,34.3,34.5
sure,34.5,34.6
that,34.6,34.8
each,34.8,35.5
block,35.5,35.9
it,35.9,36.0
easier,36.0,36.5
in,36.5,36.7
the,36.7,36.8
very,36.8,37.0
center,37.0,37.2
of,37.2,37.5
that,37.5,37.8
space,37.8,38.4
