Word,Start (s),End (s)
okay,0.4,1.0
so,1.0,1.7000000000000002
let's,1.7000000000000002,2.3
make,2.3,2.5
an,2.5,2.8
L,2.8,3.2
with,3.2,3.6
three,3.6,3.9
blocks,3.9,4.4
to,4.4,5.0
blocks,5.0,5.5
on,5.5,6.0
the,6.0,6.1
first,6.1,6.5
layer,6.5,6.8
and,6.8,7.1
one,7.1,7.6
on,7.6,7.8
the,7.8,7.8
top,7.8,8.2
on,9.1,9.5
the,9.5,9.6
top,9.6,9.9
on,9.9,10.0
top,10.0,10.3
of,10.3,10.4
one,10.4,10.9
of,10.9,11.0
those,11.0,11.2
yes,11.2,11.6
and,11.6,12.1
that,12.1,12.3
should,12.3,12.4
be,12.4,12.5
on,12.5,12.7
your,12.7,12.7
right,12.7,12.9
or,12.9,13.1
left,13.1,13.3
the,13.3,14.1
top,14.1,14.4
