Word,POS
alright,JJ
take,NN
I,PRP
want,VBP
you,PRP
to,TO
take,VB
for,IN
blocks,NNS
arrange,VB
them,PRP
in,IN
a,DT
square,JJ
girl,NN
touching,VBG
small,JJ
together,RB
kill,VBP
that,DT
big,JJ
square,NN
at,IN
an,DT
angle,NN
I,PRP
want,VBP
you,PRP
to,TO
separate,VB
them,PRP
so,IN
that,IN
the,DT
angles,NNS
so,IN
that,IN
the,DT
corners,NNS
are,VBP
touching,VBG
all,DT
right,JJ
wait,NN
scratch,NN
that,WDT
one,CD
take,VB
him,PRP
out,RP
let,VB
's,POS
try,VB
this,DT
again,RB
I,PRP
messed,VBD
up,RP
sorry,JJ
you,PRP
're,VBP
going,VBG
to,TO
take,VB
one,CD
block,NN
keep,VBP
that,IN
block,NN
in,IN
front,NN
of,IN
you,PRP
I,PRP
want,VBP
you,PRP
tilt,VB
and,CC
angle,NN
and,CC
I,PRP
want,VBP
you,PRP
to,TO
move,VB
it,PRP
over,IN
like,IN
right,NN
here,RB
I,PRP
want,VBP
to,TO
take,VB
another,DT
block,NN
so,RB
that,IN
angle,NN
Corner,NN
up,IN
perfect,JJ
I,PRP
want,VBP
you,PRP
to,TO
take,VB
two,CD
more,JJR
blocks,NNS
I,PRP
want,VBP
you,PRP
to,TO
put,VB
them,PRP
on,IN
top,NN
on,IN
top,NN
of,IN
each,DT
other,JJ
but,CC
like,IN
stack,VBP
them,PRP
like,IN
this,DT
do,VBP
you,PRP
have,VB
a,DT
base,NN
Diamond,NNP
like,IN
Square,NNP
yes,RB
all,DT
right,NN
you,PRP
're,VBP
going,VBG
to,TO
take,VB
two,CD
blocks,NNS
going,VBG
to,TO
put,VB
one,CD
of,IN
them,PRP
at,IN
the,DT
intersection,NN
Buckeye,NNP
Corner,NN
intersection,NN
at,IN
mangle,JJ
move,NN
it,PRP
over,IN
to,TO
your,PRP$
right,NN
yep,RB
the,DT
same,JJ
thing,NN
the,DT
other,JJ
side,NN
I,PRP
want,VBP
you,PRP
to,TO
take,VB
one,CD
more,JJR
block,NN
you,PRP
're,VBP
going,VBG
to,TO
start,VB
taking,VBG
on,IN
top,NN
at,IN
nangal,JJ
Perfect,NNP
